adminCode,adminCode2,Dong,salary_20,salary_30,salary_40,salary_50,salary_60above,salary_male,salary_female,salary_avg,salary_weight1_under2000,salary_weight2_under3000,salary_weight3_under4000,salary_weight4_under5000,salary_weight5_above5000,business_건설업,"business_공공행정,국방및사회보장행정",business_교육서비스업,business_금융및보험업,business_도매및소매,business_방송통신및정보서비스업,business_보건및사회복지서비스업,business_부동산및임대업,business_사업시설관리및사업지원서비스업,business_숙박및음식점업,"business_예술,스포츠및여가관련서비스업",business_운수업,"business_전문,과학및기술서비스업",business_제조업,"business_하수처리,폐기물재활용및환경복원","business_협회및단체,수리및기타개인서비스업",business_total,sales_음식및음료,sales_소매및판매,sales_문화및여가,sales_서비스,sales_의료,sales_교육,sales_10,sales_20,sales_30,sales_40,sales_50,sales_60above,sales_sum,transport_0006,transport_0612,transport_1218,transport_1824,transport_sum,bus_sum,workers_건설업,"workers_공공 행정, 국방 및 사회보장 행정",workers_광업,workers_교육 서비스업,workers_금융 및 보험업,"workers_농업, 임업 및 어업",workers_도매 및 소매,workers_방송통신 및 정보서비스업,workers_보건 및 사회복지 서비스업,workers_부동산 및 임대업,workers_사업시설 관리 및 사업 지원 서비스업,workers_숙박 및 음식점업,"workers_예술, 스포츠 및 여가관련 서비스업",workers_운수업,"workers_전기, 가스, 증기 및 수도사업","workers_전문, 과학 및 기술 서비스업",workers_제조업,"workers_하수 처리, 폐기물 재활용 및 환경 복원","workers_협회 및 단체, 수리 및 기타 개인 서비스업",workers_total,popLiv_total,popLiv_male0,popLiv_male10,popLiv_male20,popLiv_male30,popLiv_male40,popLiv_male50,popLiv_male60,popLiv_male70above,popLiv_male,popLiv_female0,popLiv_female10,popLiv_female20,popLiv_female30,popLiv_female40,popLiv_female50,popLiv_female60,popLiv_female70above,popLiv_female,popLiv_0006,popLiv_0612,popLiv_1218,popLiv_1824,popReg_total,popReg_0,popReg_10,popReg_20,popReg_30,popReg_40,popReg_50,popReg_60,popReg_70,popReg_80above,popReg_kor,popReg_fori,popReg_male,popReg_female,house_detached,house_apt,house_total,business_total,business_ceo_male,business_ceo_male,business_ceo_20,business_ceo_30,business_ceo_40,business_ceo_50,business_ceo_60,business_ceo_70above,business_개인사업체,business_회사법인,business_회사이외법인,business_비법인단체,business_국가지자체,car_total
11110640,1101064,이화동,2648,3427,4190,4349,3492,4007,3328,3661,9,23,32,20,15,5,0,32,0,232,54,9,34,0,349,124,0,98,72,0,105,1114,4939450028,1717080224,71589866,142630983,750277227,103797860,4228137562,68558939926,43701877961,34097817847,25409850191,13431302867,1.89E+11,17463,250836,621419,635166,1524884,20,36,172,0,1166,92,0,1119,410,6579,134,39,2027,694,54,0,1315,302,0,361,14500,23910,350,642,2150,2113,1931,1780,885,834,10688,365,869,2416,2623,2016,1661,1131,1301,12385,14876,25777,33623,21365,7651,198,354,1940,1341,876,1055,936,573,378,7067,584,3356,3753,682,189,871,1338,909,429,31,195,372,437,215,88,848,289,103,88,10,1706
11110650,1101073,혜화동,2706,3521,4588,4901,3659,4342,3520,3951,8,21,28,21,21,6,0,48,8,294,19,23,34,11,610,144,5,52,6,0,110,1370,6134482048,3054856210,213198435,523383270,693550164,278331550,9308520244,1.20E+11,49902606405,42602877610,35068295285,18796421374,2.76E+11,4065,75803,78657,47540,206065,33,111,102,0,2241,145,0,1027,260,246,167,198,2495,784,64,0,631,82,0,498,9051,31943,569,1973,4337,1849,1782,1694,902,804,13913,707,2085,6679,2003,1958,1876,1203,1578,18092,28849,31099,34789,33036,19570,557,1493,7231,2235,2063,2355,1693,1105,844,16148,3422,7816,8426,1430,890,2320,1790,1113,677,59,321,538,524,261,87,1412,247,77,40,14,3518
11110670,1101067,창신1동,2426,3334,4024,4224,3420,3903,3324,3641,9,27,30,18,16,6,0,13,18,1416,6,31,53,7,263,36,16,15,323,0,111,2314,1304858693,1992252368,260104363,505605815,1151009799,74794330,876788664,22957879856,24925927507,25382838361,31567292905,28037195189,1.34E+11,10,1305,1450,933,3698,8,12,15,0,124,534,0,2576,31,195,187,440,752,223,105,0,74,702,48,339,6357,8288,64,157,538,686,702,821,653,474,4097,91,145,479,600,660,844,628,562,4013,7626,8531,9419,7575,5400,118,196,963,735,590,995,1045,477,281,4613,787,2489,2184,493,868,1361,2288,1572,716,51,327,561,794,420,135,2087,144,21,32,4,1164
11110680,1101068,창신2동,2357,3037,3769,3957,3247,3668,3073,3396,10,27,35,17,10,0,0,10,0,121,0,13,10,9,112,8,0,0,349,0,70,702,1055337257,765429165,3554459,64600726,491387746,20066675,561347212,9334614951,9812344766,13024853889,15410644925,11773521660,59917327403,3006,68782,46529,18612,136929,2,0,19,0,26,103,0,276,11,239,17,11,290,28,0,0,5,1014,0,143,2182,9678,141,256,667,546,654,990,712,525,4495,134,284,700,642,585,1119,773,853,5094,10685,9727,8742,9557,8760,203,373,1586,1061,954,1837,1526,794,426,7650,1110,3969,3757,879,330,1209,844,561,283,10,48,255,337,157,37,788,20,11,23,2,1411
11110690,1101069,창신3동,2582,3517,4405,4513,3772,4285,3528,3937,8,21,27,22,22,0,0,0,0,41,0,0,12,0,23,0,0,0,23,0,20,119,123060444,72121638,10305669,23338510,64455080,202116725,111968458,1278844725,1779829632,3298059311,1787067599,1066002051,9321771776,15921,206157,207347,87657,517082,6,7,36,0,142,7,0,114,0,80,60,5,57,11,34,0,9,90,37,43,732,4883,174,201,266,323,378,374,294,199,2214,210,300,440,353,377,433,330,350,2797,6072,4982,3713,4764,6590,331,457,929,928,851,1196,1070,498,330,6436,154,3181,3277,306,1735,2041,261,184,77,7,27,56,100,53,18,226,10,7,14,4,1699
11110700,1101070,숭인1동,2578,3492,4353,4568,3371,4155,3493,3838,8,23,30,21,18,0,0,5,0,121,0,7,5,0,54,0,0,0,150,0,31,373,404473146,517570056,21332844,103447854,343356152,147149880,369475374,5892742340,8296818020,9787691517,7233625328,4222595472,35802948051,6904,38968,83595,59451,188918,7,13,13,0,44,22,0,341,6,169,36,16,200,10,31,0,27,457,0,104,1489,7518,170,178,438,586,580,690,487,391,3523,179,219,503,581,579,710,518,613,3906,7220,7257,7815,7782,6069,215,358,801,870,893,1132,970,521,310,5772,297,2784,3009,644,654,1298,522,353,169,5,52,155,185,95,30,461,35,8,15,3,1481
11110710,1101071,숭인2동,2571,3365,4068,4044,3354,3864,3202,3542,10,27,33,18,14,32,0,25,36,807,23,20,84,29,270,45,26,26,223,0,95,1741,1459439025,2033262538,203740480,380695241,704712836,80951443,1107607195,19658516861,21970850462,23497966536,27955982377,23021504197,1.17E+11,18171,166991,375075,125422,685659,9,332,73,0,381,766,0,1914,605,77,200,161,709,214,183,0,315,656,0,173,6759,12725,169,264,959,1048,1062,1203,936,715,6359,160,248,1014,1070,898,987,761,758,5899,12858,12939,13505,11598,10557,228,339,2818,1898,1150,1616,1403,721,384,9812,745,4855,4991,406,1633,2039,1873,1360,513,44,210,498,605,378,138,1588,231,25,24,5,2200
11140520,1102052,소공동,2676,4266,6724,6422,4035,6258,4294,5405,3,11,17,19,49,27,0,43,254,1260,137,67,143,267,741,53,342,424,116,0,199,4073,8146720578,5006086695,336076066,208959176,2001726838,78692879,2046732138,72344086764,1.09E+11,1.12E+11,92069727081,68523374768,4.56E+11,29233,265573,939555,1137120,2371481,27,961,144,0,1279,18824,0,7704,5118,736,1097,5037,5751,580,4852,20,8395,431,0,1240,62169,30208,735,355,1954,3681,4080,2759,1113,648,15330,466,1023,2278,3636,2864,2044,1066,651,14030,8307,36655,53971,21901,3558,268,290,339,749,831,558,342,121,61,2207,1351,1088,1156,16,651,667,4208,2962,1246,46,486,1107,1370,795,404,2257,1720,165,52,14,3994
11140540,1102054,회현동,2720,3942,5090,5279,4057,4987,3855,4479,6,20,25,18,31,9,0,8,177,8041,25,50,136,81,606,26,98,59,232,0,220,9768,5305154015,6411420395,622235634,215760317,2447604111,33312761,1809337355,53272006466,95689715898,1.01E+11,1.01E+11,1.19E+11,4.72E+11,5560,144828,132381,89915,372684,34,628,422,0,222,7758,0,20102,4621,390,863,1306,3269,673,1541,126,3768,539,0,938,47166,26118,149,265,1586,2958,3306,2363,1155,860,12645,243,419,1355,2955,2498,2080,1581,1312,12447,7725,29801,48261,18686,5159,223,263,497,637,712,906,1083,535,305,4479,680,2349,2207,246,1342,1588,10216,4952,5264,182,1379,2804,3460,1844,547,9117,905,74,109,11,13272
11140550,1102055,명동,2640,4000,5443,5389,3926,5128,3732,4539,6,18,23,20,33,31,14,64,503,2058,228,175,330,540,1330,61,286,529,381,0,510,7040,15144451787,16042724806,859464044,1427157419,3482142905,383706908,14684583310,2.93E+11,2.66E+11,1.90E+11,1.27E+11,74429630009,9.65E+11,28777,370170,1108276,1474974,2982197,31,2309,14949,0,784,21413,0,11637,10500,1618,3098,10653,8982,499,2713,290,12109,1232,20,2898,105704,39213,436,562,3124,5031,5288,3426,1443,800,20114,464,916,3127,4762,3534,2274,1310,916,17306,10136,43900,70426,32390,3600,111,190,525,574,537,604,569,301,189,2714,886,1235,1572,201,250,451,6881,4876,2005,97,737,1801,2467,1303,476,3858,2622,244,133,24,8386
11140570,1102057,필동,2705,3486,4401,4360,3711,4156,3397,3828,8,25,26,22,19,10,5,51,44,467,198,34,94,59,487,48,26,461,1091,0,147,3222,3785260196,1487921591,268173273,638224879,799356296,115851383,3948458083,47841905525,34353855149,34372971592,29105578947,17648175705,1.67E+11,8205,92938,128235,93590,322968,9,232,1235,0,2782,1136,0,1875,2442,1255,384,2431,1826,528,224,0,2705,4763,25,587,24430,12570,204,364,1510,1157,1305,1227,609,389,6769,107,432,1577,1006,770,720,447,522,5585,7710,13554,18327,10690,4845,166,210,1355,806,506,596,638,311,258,3973,872,2078,1904,375,399,774,3326,2493,833,75,330,1071,1245,458,147,2315,825,133,43,10,2156
