adminCode,adminCode2,Dong,salary_23,salary_45,salary_6a,salary_male,salary_female,salary_avg,sales_음식및음료,sales_소매및판매,sales_문화및여가,sales_서비스,sales_의료,sales_교육,sales_01,sales_23,sales_45,sales_6ab,sales_sum,transport_0006,transport_0612,transport_1218,transport_1824,transport_sum,bus_sum,workers_건설업,"workers_공공 행정, 국방 및 사회보장 행정",workers_교육 서비스업,workers_금융 및 보험업,workers_도매 및 소매,workers_방송통신 및 정보서비스업,workers_보건 및 사회복지 서비스업,workers_부동산 및 임대업,workers_사업시설 관리 및 사업 지원 서비스업,workers_숙박 및 음식점업,"workers_예술, 스포츠 및 여가관련 서비스업",workers_운수업,"workers_전문, 과학 및 기술 서비스업",workers_제조업,"workers_협회 및 단체, 수리 및 기타 개인 서비스업",workers_total,popLiv_01,popLiv_23,popLiv_45,popLiv_6a,popLiv_total,popLiv_male,popLiv_female,popLiv_0006,popLiv_0612,popLiv_1218,popLiv_1824,popReg_total,popReg_01,popReg_23,popReg_45,popReg_6a,popReg_kor,popReg_fori,popReg_male,popReg_female,house_detached,house_apt,house_total,business_total,business_ceo_male,business_ceo_male,business_ceo_20,business_ceo_30,business_ceo_40,business_ceo_50,business_ceo_60,business_ceo_70above,business_개인사업체,business_회사법인,business_회사이외법인,business_비법인단체,business_국가지자체,car_total
11110640,1101064,이화동,6075,4269.5,3492,4007,3328,3661,4939450028,1717080224,71589866,142630983,750277227,103797860,4228137562,1.12E+11,59507668038,13431302867,1.89E+11,17463,250836,621419,635166,1524884,20,36,172,1166,92,1119,410,6579,134,39,2027,694,54,1315,302,361,14500,2226,9302,7388,27224,23910,10688,12385,14876,25777,33623,21365,7651,552,3281,1931,1887,7067,584,3356,3753,682,189,871,1338,909,429,31,195,372,437,215,88,848,289,103,88,10,1706
11110650,1101073,혜화동,6227,4744.5,3659,4342,3520,3951,6134482048,3054856210,213198435,523383270,693550164,278331550,9308520244,1.70E+11,77671172895,18796421374,2.76E+11,4065,75803,78657,47540,206065,33,111,102,2241,145,1027,260,246,167,198,2495,784,64,631,82,498,9051,5334,14868,7310,36492,31943,13913,18092,28849,31099,34789,33036,19570,2050,9466,4418,3642,16148,3422,7816,8426,1430,890,2320,1790,1113,677,59,321,538,524,261,87,1412,247,77,40,14,3518
11110670,1101067,창신1동,5760,4124,3420,3903,3324,3641,1304858693,1992252368,260104363,505605815,1151009799,74794330,876788664,47883807363,56950131266,28037195189,1.34E+11,10,1305,1450,933,3698,8,12,15,124,534,2576,31,195,187,440,752,223,105,74,702,339,6357,457,2303,3027,10427,8288,4097,4013,7626,8531,9419,7575,5400,314,1698,1585,1803,4613,787,2489,2184,493,868,1361,2288,1572,716,51,327,561,794,420,135,2087,144,21,32,4,1164
11110680,1101068,창신2동,5394,3863,3247,3668,3073,3396,1055337257,765429165,3554459,64600726,491387746,20066675,561347212,19146959717,28435498814,11773521660,59917327403,3006,68782,46529,18612,136929,2,0,19,26,103,276,11,239,17,11,290,28,0,5,1014,143,2182,815,2555,3348,12452,9678,4495,5094,10685,9727,8742,9557,8760,576,2647,2791,2746,7650,1110,3969,3757,879,330,1209,844,561,283,10,48,255,337,157,37,788,20,11,23,2,1411
11110690,1101069,창신3동,6099,4459,3772,4285,3528,3937,123060444,72121638,10305669,23338510,64455080,202116725,111968458,3058674357,5085126910,1066002051,9321771776,15921,206157,207347,87657,517082,6,7,36,142,7,114,0,80,60,5,57,11,34,9,90,43,732,885,1382,1562,6184,4883,2214,2797,6072,4982,3713,4764,6590,788,1857,2047,1898,6436,154,3181,3277,306,1735,2041,261,184,77,7,27,56,100,53,18,226,10,7,14,4,1699
11110700,1101070,숭인1동,6070,4460.5,3371,4155,3493,3838,404473146,517570056,21332844,103447854,343356152,147149880,369475374,14189560360,17021316845,4222595472,35802948051,6904,38968,83595,59451,188918,7,13,13,44,22,341,6,169,36,16,200,10,31,27,457,104,1489,746,2108,2559,9438,7518,3523,3906,7220,7257,7815,7782,6069,573,1671,2025,1801,5772,297,2784,3009,644,654,1298,522,353,169,5,52,155,185,95,30,461,35,8,15,3,1481
11110710,1101071,숭인2동,5936,4056,3354,3864,3202,3542,1459439025,2033262538,203740480,380695241,704712836,80951443,1107607195,41629367323,51453948913,23021504197,1.17E+11,18171,166991,375075,125422,685659,9,332,73,381,766,1914,605,77,200,161,709,214,183,315,656,173,6759,841,4091,4150,15428,12725,6359,5899,12858,12939,13505,11598,10557,567,4716,2766,2508,9812,745,4855,4991,406,1633,2039,1873,1360,513,44,210,498,605,378,138,1588,231,25,24,5,2200
11140520,1102052,소공동,6942,6573,4035,6258,4294,5405,8146720578,5006086695,336076066,208959176,2001726838,78692879,2046732138,1.81E+11,2.04E+11,68523374768,4.56E+11,29233,265573,939555,1137120,2371481,27,961,144,1279,18824,7704,5118,736,1097,5037,5751,580,4852,8395,431,1240,62169,2579,11549,11747,32838,30208,15330,14030,8307,36655,53971,21901,3558,558,1088,1389,524,2207,1351,1088,1156,16,651,667,4208,2962,1246,46,486,1107,1370,795,404,2257,1720,165,52,14,3994
11140540,1102054,회현동,6662,5184.5,4057,4987,3855,4479,5305154015,6411420395,622235634,215760317,2447604111,33312761,1809337355,1.49E+11,2.02E+11,1.19E+11,4.72E+11,5560,144828,132381,89915,372684,34,628,422,222,7758,20102,4621,390,863,1306,3269,673,1541,3768,539,938,47166,1076,8854,10247,30000,26118,12645,12447,7725,29801,48261,18686,5159,486,1134,1618,1923,4479,680,2349,2207,246,1342,1588,10216,4952,5264,182,1379,2804,3460,1844,547,9117,905,74,109,11,13272
11140550,1102055,명동,6640,5416,3926,5128,3732,4539,15144451787,16042724806,859464044,1427157419,3482142905,383706908,14684583310,5.59E+11,3.17E+11,74429630009,9.65E+11,28777,370170,1108276,1474974,2982197,31,2309,14949,784,21413,11637,10500,1618,3098,10653,8982,499,2713,12109,1232,2898,105704,2378,16044,14522,41889,39213,20114,17306,10136,43900,70426,32390,3600,301,1099,1141,1059,2714,886,1235,1572,201,250,451,6881,4876,2005,97,737,1801,2467,1303,476,3858,2622,244,133,24,8386
