salary_avg,house_total,business_total,sales_sum,transport_sum,bus_sum,workers_total,popLiv_total,popReg_total,business_total.1,car_total,adminCode,adminCode2,Dong,Cluster
4031,2202,4343,236000000000.0,1280068,22,44333,34726,10501,4918,7134,11200690,1104068,성수2가3동,1
3607,1691,409,26866229169.0,90638,12,2197,10566,10398,702,2783,11200720,1104069,송정동,2
3506,2093,1769,131000000000.0,1256030,13,14569,19299,12680,2108,7390,11200790,1104070,용답동,0
3306,2773,2021,567000000000.0,108931,21,14256,41126,27334,2379,4054,11215710,1105053,화양동,0
3597,2214,1077,186000000000.0,270001,24,7425,20654,21410,1595,5068,11215730,1105054,군자동,0
3512,1242,1209,184000000000.0,174843,17,6838,15124,15837,1623,4831,11215740,1105055,중곡1동,2
3550,1488,1216,158000000000.0,461645,16,5740,18342,21197,1666,5266,11215750,1105056,중곡2동,2
3488,1641,882,86437161386.0,104875,24,4267,15211,16153,1344,3990,11215760,1105057,중곡3동,2
3616,1822,899,144000000000.0,135002,32,4253,24923,28229,1515,7471,11215770,1105058,중곡4동,0
3707,807,540,117000000000.0,1418275,9,4640,15558,11522,740,3006,11215780,1105059,능동,2
5203,9282,1075,156000000000.0,552492,36,10839,35684,34245,1375,11711,11215810,1105063,광장동,5
3636,1989,1086,178000000000.0,192584,7,6331,25000,22854,1743,7575,11215820,1105064,자양1동,0
4000,3650,906,94374295563.0,202319,20,6698,21255,24110,1496,8384,11215830,1105065,자양2동,0
4532,7490,741,270000000000.0,199426,17,5673,23006,27769,1310,9413,11215840,1105066,자양3동,3
3789,2994,1414,251000000000.0,394396,12,6275,25906,21362,1993,4919,11215847,1105067,자양4동,0
3642,1334,1357,199000000000.0,924767,10,5645,25113,24096,1894,6169,11215850,1105060,구의1동,0
3755,2332,690,133000000000.0,652056,21,4729,21111,26403,1240,7309,11215860,1105061,구의2동,0
4526,6409,2099,497000000000.0,1180052,26,18396,31076,28404,2618,9132,11215870,1105062,구의3동,3
3655,6388,5108,338000000000.0,2059198,40,30153,40410,36842,5795,9797,11230536,1106081,용신동,1
3661,5375,4105,421000000000.0,800732,27,11722,32641,26468,4820,6468,11230545,1106082,제기동,3
3674,6182,1665,269000000000.0,265868,31,7409,31092,29353,2412,7621,11230560,1106083,전농1동,3
3945,5994,519,91516703833.0,355646,12,4220,16347,18656,916,5521,11230570,1106084,전농2동,0
3852,8687,1485,154000000000.0,215337,25,9339,22392,28476,2242,9517,11230600,1106091,답십리1동,3
3803,9175,1446,106000000000.0,317709,19,5357,22566,27955,2030,8661,11230610,1106086,답십리2동,3
3752,7770,3705,278000000000.0,542261,28,20430,34763,38611,4530,13088,11230650,1106087,장안1동,5
3810,6910,2423,365000000000.0,439384,32,10041,27868,32672,3146,10615,11230660,1106088,장안2동,3
3653,5198,1270,177000000000.0,2513655,24,7825,20597,19102,1727,5141,11230705,1106080,청량리동,0
3668,2321,789,202000000000.0,4016321,9,9447,22404,13678,964,2098,11230710,1106071,회기동,2
3510,3459,726,121000000000.0,336654,15,3823,17716,16340,1035,3879,11230720,1106072,휘경1동,2
3832,5145,375,84047378223.0,738894,17,4121,20361,25390,1156,6377,11230730,1106073,휘경2동,0
3539,3733,936,175000000000.0,386333,26,5429,25996,21266,1519,4094,11230740,1106089,이문1동,0
3953,5816,349,58081742719.0,278033,10,1768,14337,20075,702,5353,11230750,1106090,이문2동,0
3392,3972,1367,105000000000.0,192122,21,5548,20891,24155,1991,7373,11260520,1107052,면목2동,0
3440,3901,589,43087956951.0,316385,16,3191,17022,18645,1089,5237,11260540,1107054,면목4동,2
3351,2795,658,37694732641.0,133871,17,3245,11321,14793,932,4639,11260550,1107055,면목5동,2
3318,3389,1665,187000000000.0,831510,30,6363,26629,33752,2405,8058,11260565,1107071,면목본동,3
3599,4415,909,158000000000.0,168403,28,3770,18128,21774,1473,5999,11260570,1107057,면목7동,0
3429,3764,1323,158000000000.0,774280,12,6457,20614,25058,2828,6173,11260575,1107072,면목3.8동,0
3894,5987,633,111000000000.0,186391,16,6294,18030,23555,1116,8137,11260580,1107059,상봉1동,0
3368,2949,1710,272000000000.0,1132853,15,10221,26199,20615,2081,5443,11260590,1107060,상봉2동,0
3549,2858,594,63188994736.0,713508,14,3458,15132,19232,1047,5613,11260600,1107061,중화1동,2
3283,3067,1558,196000000000.0,539879,28,6657,26516,24773,2136,6202,11260610,1107062,중화2동,0
3857,7356,843,171000000000.0,219126,30,5260,25827,34217,1515,10717,11260620,1107064,묵1동,3
3513,2648,936,118000000000.0,397525,19,3931,18750,18653,1775,5601,11260630,1107065,묵2동,2
3498,5268,1959,277000000000.0,583990,56,10415,39092,36008,2890,10105,11260655,1107073,망우본동,3
3262,1409,663,58036871944.0,134593,11,3104,11835,16243,1089,5203,11260660,1107068,망우3동,2
3841,11847,910,200000000000.0,693456,48,7671,34389,38419,1777,12801,11260680,1107069,신내1동,5
3908,8434,682,135000000000.0,304051,21,4927,17292,20036,1143,6917,11260690,1107070,신내2동,0
4037,3021,639,84811963429.0,418011,50,4801,20877,16809,1077,4813,11290525,1108081,성북동,0
4033,4899,1413,318000000000.0,1708761,40,9044,26175,23101,1889,5748,11290555,1108082,삼선동,3
3605,2215,1551,353000000000.0,539460,18,9481,25300,15954,1899,3442,11290575,1108083,동선동,0
4107,5505,136,39836827197.0,411744,10,1341,13040,14489,387,4198,11290580,1108058,돈암1동,2
4577,7838,217,15532820464.0,166212,29,1924,14110,23565,369,7634,11290590,1108059,돈암2동,0
3604,2388,983,230000000000.0,590006,32,12135,26496,17248,1454,3124,11290600,1108060,안암동,0
3610,3479,831,88084396248.0,433992,10,4737,16372,16719,1442,4442,11290610,1108061,보문동,2
4129,5112,406,75656603734.0,312721,13,1650,13906,18121,755,6147,11290620,1108062,정릉1동,0
3843,4028,492,83698375789.0,240591,55,2625,19191,22893,898,6396,11290630,1108063,정릉2동,0
3474,2293,349,66862590033.0,547961,28,4089,16777,16638,687,3647,11290640,1108064,정릉3동,2
3929,5763,447,111000000000.0,837132,34,3578,18227,24842,876,7265,11290650,1108065,정릉4동,0
4509,11567,739,150000000000.0,1092774,30,3544,35618,34896,1098,10882,11290660,1108066,길음1동,5
3820,5671,892,81205725786.0,320228,22,4663,19217,21822,1198,5059,11290685,1108068,길음2동,0
3980,9491,1352,192000000000.0,183809,54,6722,38991,40050,2006,10720,11290705,1108084,종암동,5
3969,7249,931,122000000000.0,321429,24,4969,23858,26152,1353,7513,11290715,1108071,월곡1동,3
3829,4597,1121,154000000000.0,697791,34,7191,23853,19785,1606,5330,11290725,1108072,월곡2동,0
3400,1572,593,52311010633.0,267930,33,2305,21081,24006,1054,6521,11290760,1108076,장위1동,0
3444,2098,1124,87909953048.0,455828,29,4496,11688,13595,1638,3311,11290770,1108077,장위2동,2
3625,5528,702,43872391422.0,183787,35,3967,7962,15920,902,5160,11290780,1108078,장위3동,0
3642,7412,1371,159000000000.0,913595,30,7659,27316,35250,2102,9738,11290810,1108085,석관동,3
3504,4532,762,119000000000.0,365235,32,3125,22809,23011,1159,5972,11305534,1109069,삼양동,0
3389,2570,1139,179000000000.0,763216,26,6088,23688,21692,1655,4830,11305535,1109070,미아동,0
3448,4976,1294,307000000000.0,991242,56,7408,36306,29774,2004,6965,11305545,1109071,송중동,3
3483,4266,1543,163000000000.0,1239939,17,6723,27208,25875,2188,5807,11305555,1109072,송천동,0
4302,11341,414,98243272570.0,212927,20,1745,20857,30887,761,9426,11305575,1109073,삼각산동,3
3380,2552,1266,267000000000.0,1658722,25,8659,17013,18592,1733,4736,11305595,1109060,번1동,0
3432,2915,281,30931097655.0,262428,36,3011,12196,15295,650,3705,11305603,1109061,번2동,2
3553,6896,349,76979921186.0,212641,36,2150,14515,16315,866,4501,11305608,1109062,번3동,0
3321,2163,1076,175000000000.0,415422,39,5049,16891,20491,1462,5633,11305615,1109063,수유1동,0
3584,3508,841,97935353439.0,289965,15,4413,18067,20986,1357,5375,11305625,1109064,수유2동,0
3276,2094,1798,352000000000.0,630582,23,8113,28254,23882,2305,4984,11305635,1109065,수유3동,0
3498,1990,575,116000000000.0,456595,37,3360,18408,20318,996,5882,11305645,1109074,우이동,0
3384,2487,733,90222490196.0,268709,50,5310,28186,29816,1518,7567,11305660,1109075,인수동,3
3901,7713,563,122000000000.0,215495,21,2766,20647,24417,1361,8140,11320511,1110059,창1동,0
3567,3607,704,102000000000.0,148349,24,3945,28651,28832,1368,8170,11320512,1110060,창2동,0
3450,2246,537,62866408701.0,351038,15,1761,10220,13528,961,3649,11320513,1110061,창3동,2
4232,10961,875,142000000000.0,944282,36,6562,28106,26038,1293,8528,11320514,1110062,창4동,3
4089,7094,943,227000000000.0,299188,18,5590,20053,24262,2150,7801,11320515,1110063,창5동,0
3410,2247,1094,174000000000.0,306320,37,5157,18771,20541,1673,6697,11320521,1110064,도봉1동,0
3820,9048,851,86033479549.0,674161,45,6028,18711,26212,1459,8430,11320522,1110065,도봉2동,3
3555,2919,409,83478561133.0,239696,43,3568,17391,21421,910,6449,11320660,1110051,쌍문1동,0
3488,3618,837,147000000000.0,280113,15,4318,17333,18387,1278,4956,11320670,1110052,쌍문2동,2
3480,2744,547,111000000000.0,232962,16,3483,16879,16902,960,3861,11320680,1110053,쌍문3동,2
