"동별","연령별","항목","단위","2023. 1/4",
"부암동","75~79세","계","","356",
"부암동","75~79세","한국인","","355",
"부암동","75~79세","외국인","","1",
"부암동","80~84세","계","","271",
"부암동","80~84세","한국인","","271",
"부암동","80~84세","외국인","","0",
"부암동","85~89세","계","","150",
"부암동","85~89세","한국인","","150",
"부암동","85~89세","외국인","","0",
"부암동","90~94세","계","","58",
"부암동","90~94세","한국인","","58",
"부암동","90~94세","외국인","","0",
"부암동","95~99세","계","","13",
"부암동","95~99세","한국인","","13",
"부암동","95~99세","외국인","","0",
"부암동","100세 이상","계","","4",
"부암동","100세 이상","한국인","","4",
"부암동","100세 이상","외국인","","0",
"평창동","계","계","","17743",
"평창동","계","한국인","","17553",
"평창동","계","외국인","","190",
"평창동","0~4세","계","","405",
"평창동","0~4세","한국인","","403",
"평창동","0~4세","외국인","","2",
"평창동","5~9세","계","","634",
"평창동","5~9세","한국인","","631",
"평창동","5~9세","외국인","","3",
"평창동","10~14세","계","","719",
"평창동","10~14세","한국인","","716",
"평창동","10~14세","외국인","","3",
"평창동","15~19세","계","","822",
"평창동","15~19세","한국인","","815",
"평창동","15~19세","외국인","","7",
"평창동","20~24세","계","","992",
"평창동","20~24세","한국인","","987",
"평창동","20~24세","외국인","","5",
"평창동","25~29세","계","","1164",
"평창동","25~29세","한국인","","1156",
"평창동","25~29세","외국인","","8",
"평창동","30~34세","계","","1032",
"평창동","30~34세","한국인","","1013",
"평창동","30~34세","외국인","","19",
"평창동","35~39세","계","","1071",
"평창동","35~39세","한국인","","1054",
"평창동","35~39세","외국인","","17",
"평창동","40~44세","계","","1328",
"평창동","40~44세","한국인","","1301",
"평창동","40~44세","외국인","","27",
"평창동","45~49세","계","","1266",
"평창동","45~49세","한국인","","1247",
"평창동","45~49세","외국인","","19",
"평창동","50~54세","계","","1662",
"평창동","50~54세","한국인","","1637",
"평창동","50~54세","외국인","","25",
"평창동","55~59세","계","","1540",
"평창동","55~59세","한국인","","1528",
"평창동","55~59세","외국인","","12",
"평창동","60~64세","계","","1560",
"평창동","60~64세","한국인","","1541",
"평창동","60~64세","외국인","","19",
"평창동","65~69세","계","","1216",
"평창동","65~69세","한국인","","1204",
"평창동","65~69세","외국인","","12",
"평창동","70~74세","계","","742",
"평창동","70~74세","한국인","","736",
"평창동","70~74세","외국인","","6",
"평창동","75~79세","계","","634",
"평창동","75~79세","한국인","","632",
"평창동","75~79세","외국인","","2",
"평창동","80~84세","계","","489",
"평창동","80~84세","한국인","","487",
"평창동","80~84세","외국인","","2",
"평창동","85~89세","계","","322",
"평창동","85~89세","한국인","","320",
"평창동","85~89세","외국인","","2",
"평창동","90~94세","계","","103",
"평창동","90~94세","한국인","","103",
"평창동","90~94세","외국인","","0",
"평창동","95~99세","계","","32",
"평창동","95~99세","한국인","","32",
"평창동","95~99세","외국인","","0",
"평창동","100세 이상","계","","10",
"평창동","100세 이상","한국인","","10",
"평창동","100세 이상","외국인","","0",
"무악동","계","계","","8045",
"무악동","계","한국인","","8014",
"무악동","계","외국인","","31",
"무악동","0~4세","계","","206",
"무악동","0~4세","한국인","","206",
"무악동","0~4세","외국인","","0",
"무악동","5~9세","계","","352",
"무악동","5~9세","한국인","","352",
"무악동","5~9세","외국인","","0",
"무악동","10~14세","계","","478",
"무악동","10~14세","한국인","","476",
"무악동","10~14세","외국인","","2",
"무악동","15~19세","계","","462",
"무악동","15~19세","한국인","","462",
"무악동","15~19세","외국인","","0",
"무악동","20~24세","계","","453",
"무악동","20~24세","한국인","","451",
"무악동","20~24세","외국인","","2",
