행정동_ID,승객_수,승객_수_00시,승객_수_01시,승객_수_02시,승객_수_03시,승객_수_04시,승객_수_05시,승객_수_06시,승객_수_07시,승객_수_08시,승객_수_09시,승객_수_10시,승객_수_11시,승객_수_12시,승객_수_13시,승객_수_14시,승객_수_15시,승객_수_16시,승객_수_17시,승객_수_18시,승객_수_19시,승객_수_20시,승객_수_21시,승객_수_22시,승객_수_23시
1108059,166212.0,115.0,9.0,14.0,6.0,474.0,2654.0,6885.0,17711.0,18439.0,13871.0,12363.0,11098.0,11696.0,10471.0,9469.0,9141.0,9779.0,9927.0,8561.0,4975.0,3151.0,2586.0,1911.0,906.0
1108060,590006.0,3418.0,219.0,72.0,140.0,1123.0,4499.0,7250.0,18014.0,24763.0,23777.0,26301.0,31423.0,32705.0,34469.0,36761.0,48294.0,53614.0,63137.0,51347.0,31249.0,25933.0,26772.0,26360.0,18366.0
1108061,433992.0,1886.0,319.0,137.0,121.0,1323.0,6197.0,12118.0,32616.0,54637.0,32640.0,23973.0,22045.0,23852.0,24261.0,23309.0,23330.0,26176.0,28877.0,32767.0,18914.0,13691.0,13079.0,10915.0,6809.0
1108062,355646.0,1083.0,129.0,0.0,2.0,2131.0,5193.0,10650.0,28934.0,35987.0,26141.0,20646.0,21333.0,21712.0,21644.0,21112.0,21606.0,22715.0,23355.0,22008.0,15041.0,10737.0,10116.0,8776.0,4595.0
1108063,312721.0,775.0,125.0,81.0,42.0,2219.0,7272.0,12409.0,30219.0,36546.0,24573.0,20969.0,18886.0,18741.0,18873.0,17229.0,16625.0,17835.0,17620.0,15640.0,11214.0,8055.0,7381.0,6281.0,3111.0
1108064,240591.0,1399.0,109.0,53.0,42.0,597.0,1939.0,4019.0,8790.0,11605.0,10578.0,10481.0,14291.0,12833.0,15648.0,19076.0,19963.0,25602.0,25059.0,16029.0,11333.0,8846.0,9194.0,8841.0,4264.0
1108065,547961.0,1520.0,54.0,0.0,20.0,3793.0,8502.0,16787.0,44961.0,53828.0,39135.0,32004.0,33500.0,33470.0,33731.0,32013.0,32437.0,36611.0,37815.0,33777.0,23416.0,16969.0,15128.0,12241.0,6249.0
1108066,1092774.0,3749.0,631.0,372.0,262.0,5538.0,17350.0,45740.0,115609.0,126054.0,78352.0,60303.0,57576.0,59671.0,58469.0,56378.0,58462.0,68735.0,71331.0,64582.0,42072.0,31201.0,28278.0,28371.0,13688.0
1108068,320228.0,1547.0,353.0,163.0,101.0,3002.0,4612.0,6555.0,14299.0,19987.0,14703.0,13104.0,15337.0,17120.0,18533.0,20232.0,23082.0,24784.0,26243.0,29055.0,20404.0,19984.0,11854.0,10422.0,4752.0
1108071,321429.0,1665.0,203.0,17.0,15.0,1212.0,3905.0,8961.0,20386.0,26702.0,19283.0,16484.0,18756.0,19103.0,18750.0,18854.0,21405.0,23111.0,21916.0,22732.0,16990.0,13549.0,11931.0,10233.0,5266.0
1108072,697791.0,1912.0,153.0,106.0,42.0,1429.0,12433.0,22960.0,62715.0,83122.0,48712.0,36417.0,36597.0,38034.0,38740.0,38550.0,37997.0,42545.0,45170.0,50847.0,31178.0,22272.0,21958.0,15379.0,8523.0
1108076,267930.0,384.0,64.0,34.0,32.0,2824.0,6456.0,13016.0,27317.0,32025.0,21547.0,17338.0,15711.0,15711.0,16447.0,14718.0,14415.0,15031.0,14931.0,12586.0,10208.0,6356.0,5199.0,3804.0,1776.0
1108077,455828.0,1671.0,289.0,155.0,104.0,1945.0,8270.0,17360.0,45252.0,54545.0,30886.0,23639.0,21785.0,23501.0,25770.0,25028.0,23313.0,25515.0,30669.0,28833.0,22907.0,14365.0,12823.0,10885.0,6318.0
1108078,183787.0,846.0,126.0,40.0,14.0,2214.0,2616.0,7095.0,19098.0,20426.0,11627.0,9657.0,9683.0,10021.0,10165.0,10519.0,11029.0,11806.0,12042.0,10828.0,7720.0,5098.0,5038.0,4000.0,2079.0
1108081,418011.0,1248.0,131.0,73.0,60.0,4147.0,6391.0,11164.0,24454.0,34563.0,26820.0,22268.0,21754.0,24013.0,24622.0,24901.0,26222.0,29443.0,29106.0,27615.0,20714.0,17628.0,17054.0,14473.0,9147.0
1108082,1708761.0,9366.0,1583.0,363.0,226.0,2015.0,17453.0,38844.0,95196.0,124628.0,92640.0,81630.0,86245.0,97280.0,103020.0,105471.0,112604.0,129226.0,132835.0,133637.0,86730.0,76146.0,79183.0,67080.0,35360.0
1108083,539460.0,10930.0,2776.0,963.0,745.0,3008.0,4927.0,7235.0,16109.0,27683.0,20462.0,19083.0,21174.0,25268.0,27445.0,30341.0,33463.0,35056.0,38472.0,42706.0,38025.0,34050.0,38073.0,36513.0,24953.0
1108084,550788.0,2212.0,317.0,109.0,132.0,5172.0,11500.0,18727.0,39933.0,50364.0,36646.0,31176.0,29849.0,32381.0,33377.0,31935.0,35168.0,34255.0,35456.0,36214.0,25491.0,18503.0,17730.0,15590.0,8551.0
1108085,913595.0,3764.0,525.0,248.0,357.0,5569.0,18160.0,34108.0,80382.0,101297.0,63303.0,50565.0,49232.0,50874.0,50415.0,46692.0,48340.0,52072.0,55119.0,54262.0,44389.0,31478.0,29347.0,26723.0,16374.0
1109060,1658722.0,10463.0,2348.0,650.0,375.0,3732.0,26589.0,56365.0,128527.0,148933.0,101900.0,82250.0,81801.0,86550.0,88472.0,87111.0,92549.0,103637.0,114345.0,124124.0,88507.0,68584.0,65622.0,57764.0,37524.0
1109061,262428.0,467.0,7.0,2.0,0.0,1273.0,6479.0,10218.0,24810.0,27835.0,19128.0,16737.0,15441.0,15629.0,15702.0,15582.0,15190.0,16550.0,15616.0,15789.0,9348.0,7205.0,6553.0,4526.0,2341.0
1109062,212641.0,228.0,29.0,50.0,29.0,2297.0,5329.0,9227.0,20696.0,23946.0,16846.0,14331.0,13597.0,12970.0,12952.0,11986.0,12456.0,12961.0,12514.0,11023.0,6889.0,4901.0,3584.0,2601.0,1199.0
1109063,415422.0,683.0,226.0,121.0,548.0,8150.0,11395.0,16788.0,36670.0,42359.0,31113.0,24524.0,24862.0,25719.0,26370.0,25541.0,24796.0,26400.0,24213.0,21699.0,15531.0,10380.0,7976.0,6514.0,2844.0
1109064,289965.0,1052.0,126.0,1.0,0.0,2462.0,6157.0,11547.0,30393.0,34128.0,22449.0,17198.0,16487.0,16826.0,16291.0,15071.0,14712.0,15449.0,16865.0,15131.0,11767.0,8984.0,7752.0,5847.0,3270.0
1109065,630582.0,4148.0,1340.0,800.0,729.0,9168.0,12749.0,15670.0,29973.0,42853.0,30827.0,26384.0,28335.0,30746.0,32164.0,33145.0,35899.0,39755.0,43806.0,51116.0,42544.0,34573.0,32636.0,30332.0,20890.0
1109069,365235.0,544.0,74.0,1.0,0.0,3308.0,8032.0,16780.0,46636.0,48241.0,30726.0,22340.0,19636.0,20724.0,20444.0,18720.0,18284.0,20123.0,19036.0,16205.0,11795.0,8923.0,6672.0,5212.0,2779.0
1109070,763216.0,1931.0,509.0,141.0,190.0,4210.0,15704.0,26237.0,54840.0,67515.0,49359.0,40429.0,42198.0,46222.0,45084.0,45490.0,47942.0,51690.0,52707.0,53057.0,37250.0,26702.0,23870.0,20234.0,9705.0
1109071,991242.0,9116.0,1924.0,632.0,459.0,1461.0,8537.0,15469.0,34598.0,53657.0,38188.0,36481.0,42047.0,46327.0,51981.0,55574.0,67791.0,73946.0,80578.0,88382.0,79856.0,63516.0,55726.0,51223.0,33773.0
1109072,1239939.0,3062.0,685.0,335.0,391.0,7361.0,27473.0,49226.0,112923.0,130362.0,88448.0,70030.0,68366.0,71045.0,72217.0,70736.0,74613.0,78683.0,74189.0,69438.0,49660.0,47024.0,33187.0,27277.0,13208.0
