"""동별""","""연령별""","""항목""","""2023. 1/4""",ADSTRD_CD_x,ADSTRD_NM,ADSTRD_CD_y
삼청동,75~79세,한국인,109,1101054,삼청동,11110540
삼청동,75~79세,외국인,3,1101054,삼청동,11110540
삼청동,80~84세,계,93,1101054,삼청동,11110540
삼청동,80~84세,한국인,93,1101054,삼청동,11110540
삼청동,80~84세,외국인,0,1101054,삼청동,11110540
삼청동,85~89세,계,61,1101054,삼청동,11110540
삼청동,85~89세,한국인,59,1101054,삼청동,11110540
삼청동,85~89세,외국인,2,1101054,삼청동,11110540
삼청동,90~94세,계,22,1101054,삼청동,11110540
삼청동,90~94세,한국인,22,1101054,삼청동,11110540
삼청동,90~94세,외국인,0,1101054,삼청동,11110540
삼청동,95~99세,계,4,1101054,삼청동,11110540
삼청동,95~99세,한국인,4,1101054,삼청동,11110540
삼청동,95~99세,외국인,0,1101054,삼청동,11110540
삼청동,100세 이상,계,2,1101054,삼청동,11110540
삼청동,100세 이상,한국인,2,1101054,삼청동,11110540
삼청동,100세 이상,외국인,0,1101054,삼청동,11110540
부암동,계,계,9460,1101055,부암동,11110550
부암동,계,한국인,9148,1101055,부암동,11110550
부암동,계,외국인,312,1101055,부암동,11110550
부암동,0~4세,계,126,1101055,부암동,11110550
부암동,0~4세,한국인,126,1101055,부암동,11110550
부암동,0~4세,외국인,0,1101055,부암동,11110550
부암동,5~9세,계,282,1101055,부암동,11110550
부암동,5~9세,한국인,282,1101055,부암동,11110550
부암동,5~9세,외국인,0,1101055,부암동,11110550
부암동,10~14세,계,390,1101055,부암동,11110550
부암동,10~14세,한국인,390,1101055,부암동,11110550
부암동,10~14세,외국인,0,1101055,부암동,11110550
부암동,15~19세,계,470,1101055,부암동,11110550
부암동,15~19세,한국인,468,1101055,부암동,11110550
부암동,15~19세,외국인,2,1101055,부암동,11110550
부암동,20~24세,계,581,1101055,부암동,11110550
부암동,20~24세,한국인,521,1101055,부암동,11110550
부암동,20~24세,외국인,60,1101055,부암동,11110550
부암동,25~29세,계,686,1101055,부암동,11110550
부암동,25~29세,한국인,614,1101055,부암동,11110550
부암동,25~29세,외국인,72,1101055,부암동,11110550
부암동,30~34세,계,644,1101055,부암동,11110550
부암동,30~34세,한국인,577,1101055,부암동,11110550
부암동,30~34세,외국인,67,1101055,부암동,11110550
부암동,35~39세,계,608,1101055,부암동,11110550
부암동,35~39세,한국인,563,1101055,부암동,11110550
부암동,35~39세,외국인,45,1101055,부암동,11110550
부암동,40~44세,계,702,1101055,부암동,11110550
부암동,40~44세,한국인,671,1101055,부암동,11110550
부암동,40~44세,외국인,31,1101055,부암동,11110550
부암동,45~49세,계,744,1101055,부암동,11110550
부암동,45~49세,한국인,735,1101055,부암동,11110550
부암동,45~49세,외국인,9,1101055,부암동,11110550
부암동,50~54세,계,878,1101055,부암동,11110550
부암동,50~54세,한국인,870,1101055,부암동,11110550
부암동,50~54세,외국인,8,1101055,부암동,11110550
부암동,55~59세,계,781,1101055,부암동,11110550
부암동,55~59세,한국인,773,1101055,부암동,11110550
부암동,55~59세,외국인,8,1101055,부암동,11110550
부암동,60~64세,계,738,1101055,부암동,11110550
부암동,60~64세,한국인,734,1101055,부암동,11110550
부암동,60~64세,외국인,4,1101055,부암동,11110550
부암동,65~69세,계,598,1101055,부암동,11110550
부암동,65~69세,한국인,594,1101055,부암동,11110550
부암동,65~69세,외국인,4,1101055,부암동,11110550
부암동,70~74세,계,380,1101055,부암동,11110550
