동별(3),단독주택,아파트,ADSTRD_CD_x,ADSTRD_NM,ADSTRD_CD_y
삼양동,1885,2647,1109069,삼양동,11305534
미아동,1470,1100,1109070,미아동,11305535
송중동,1991,2985,1109071,송중동,11305545
송천동,3011,1255,1109072,송천동,11305555
삼각산동,50,11291,1109073,삼각산동,11305575
우이동,1134,856,1109074,우이동,11305645
인수동,1817,670,1109075,인수동,11305660
쌍문1동,948,1971,1110051,쌍문1동,11320660
쌍문2동,645,2973,1110052,쌍문2동,11320670
쌍문3동,814,1930,1110053,쌍문3동,11320680
쌍문4동,91,6120,1110054,쌍문4동,11320681
방학1동,1070,4495,1110055,방학1동,11320690
방학2동,1072,234,1110056,방학2동,11320700
방학3동,65,9237,1110057,방학3동,11320710
창1동,399,7314,1110059,창1동,11320511
창2동,665,2942,1110060,창2동,11320512
창3동,1083,1163,1110061,창3동,11320513
창4동,916,10045,1110062,창4동,11320514
창5동,146,6948,1110063,창5동,11320515
도봉1동,1140,1107,1110064,도봉1동,11320521
도봉2동,495,8553,1110065,도봉2동,11320522
월계1동,638,4503,1111051,월계1동,11350560
월계2동,131,10866,1111052,월계2동,11350570
월계3동,45,12617,1111053,월계3동,11350580
공릉2동,538,10880,1111056,공릉2동,11350600
하계1동,152,9283,1111058,하계1동,11350611
하계2동,991,8160,1111059,하계2동,11350612
중계본동,767,6158,1111060,중계본동,11350619
중계1동,830,8733,1111061,중계1동,11350621
중계4동,95,7317,1111064,중계4동,11350624
상계1동,326,10902,1111065,상계1동,11350630
상계2동,674,3908,1111066,상계2동,11350640
상계5동,1044,4133,1111069,상계5동,11350670
상계8동,926,9090,1111072,상계8동,11350700
상계9동,269,8258,1111073,상계9동,11350710
상계10동,273,6422,1111074,상계10동,11350720
상계3·4동,1410,5308,1111076,상계3·4동,11350665
상계6·7동,549,13647,1111077,상계6·7동,11350695
중계2·3동,549,14245,1111078,중계2·3동,11350625
공릉1동,794,9072,1111079,공릉1동,11350595
녹번동,1058,5206,1112051,녹번동,11380510
불광1동,1113,7280,1112052,불광1동,11380520
갈현1동,1482,928,1112055,갈현1동,11380551
갈현2동,930,1406,1112056,갈현2동,11380552
구산동,738,2645,1112057,구산동,11380560
대조동,1190,2061,1112058,대조동,11380570
응암1동,607,2762,1112059,응암1동,11380580
응암2동,466,7485,1112060,응암2동,11380590
신사1동,589,2999,1112065,신사1동,11380631
신사2동,1056,2394,1112066,신사2동,11380632
증산동,771,1857,1112067,증산동,11380640
수색동,280,2192,1112068,수색동,11380650
진관동,257,16634,1112071,진관동,11380690
불광2동,1618,882,1112072,불광2동,11380530
응암3동,1294,925,1112073,응암3동,11380600
역촌동,1488,1782,1112074,역촌동,11380625
천연동,522,5109,1113052,천연동,11410520
홍제1동,619,4961,1113062,홍제1동,11410620
홍제3동,881,2469,1113064,홍제3동,11410640
홍제2동,257,4109,1113065,홍제2동,11410655
홍은1동,1132,5041,1113066,홍은1동,11410660
홍은2동,959,2514,1113068,홍은2동,11410685
남가좌1동,43,5250,1113069,남가좌1동,11410690
남가좌2동,995,5759,1113070,남가좌2동,11410700
북가좌1동,286,4770,1113071,북가좌1동,11410710
북가좌2동,1197,2016,1113072,북가좌2동,11410720
충현동,1350,3197,1113073,충현동,11410565
북아현동,702,4099,1113074,북아현동,11410555
신촌동,1114,1565,1113075,신촌동,11410585
연희동,2543,3273,1113076,연희동,11410615
용강동,218,6067,1114059,용강동,11440590
대흥동,1066,1591,1114060,대흥동,11440600
염리동,564,1931,1114061,염리동,11440610
신수동,651,5227,1114063,신수동,11440630
서교동,1361,2420,1114066,서교동,11440660
합정동,666,1070,1114068,합정동,11440680
망원1동,920,1492,1114069,망원1동,11440690
망원2동,421,2629,1114070,망원2동,11440700
연남동,1174,881,1114071,연남동,11440710
성산1동,761,654,1114072,성산1동,11440720
성산2동,462,9927,1114073,성산2동,11440730
상암동,347,8966,1114074,상암동,11440740
도화동,510,6067,1114075,도화동,11440585
서강동,610,5609,1114076,서강동,11440655
공덕동,1657,7071,1114077,공덕동,11440565
아현동,230,8705,1114078,아현동,11440555
목1동,132,7368,1115051,목1동,11470510
목2동,586,2889,1115052,목2동,11470520
목3동,555,2243,1115053,목3동,11470530
목4동,637,2833,1115054,목4동,11470540
신월1동,1106,1330,1115057,신월1동,11470560
신월2동,273,3882,1115058,신월2동,11470570
신월3동,1147,1167,1115059,신월3동,11470580
신월4동,177,3416,1115060,신월4동,11470590
신월5동,470,1457,1115061,신월5동,11470600
신월6동,54,4413,1115062,신월6동,11470610
신월7동,66,3291,1115063,신월7동,11470611
신정1동,287,5440,1115064,신정1동,11470620
신정2동,312,5244,1115065,신정2동,11470630
신정3동,549,13635,1115066,신정3동,11470640
신정6동,367,7214,1115069,신정6동,11470670
신정7동,58,10653,1115070,신정7동,11470680
목5동,45,12390,1115071,목5동,11470550
신정4동,1289,1923,1115072,신정4동,11470650
염창동,86,11882,1116051,염창동,11500510
등촌1동,183,4633,1116052,등촌1동,11500520
등촌2동,491,2717,1116053,등촌2동,11500530
등촌3동,10,13287,1116054,등촌3동,11500535
화곡본동,730,1064,1116055,화곡본동,11500590
화곡2동,661,338,1116057,화곡2동,11500550
화곡3동,478,3463,1116058,화곡3동,11500560
화곡4동,831,694,1116059,화곡4동,11500570
화곡6동,560,3117,1116061,화곡6동,11500591
화곡8동,652,734,1116063,화곡8동,11500593
가양1동,84,6733,1116064,가양1동,11500603
가양2동,402,7082,1116065,가양2동,11500604
가양3동,466,7454,1116066,가양3동,11500605
발산1동,242,9143,1116067,발산1동,11500611
공항동,1329,3044,1116069,공항동,11500620
방화1동,916,10024,1116070,방화1동,11500630
방화2동,1218,3922,1116071,방화2동,11500640
방화3동,117,8921,1116072,방화3동,11500641
화곡1동,1240,5986,1116073,화곡1동,11500540
우장산동,431,9529,1116074,우장산동,11500615
신도림동,278,10552,1117051,신도림동,11530510
구로1동,62,6700,1117052,구로1동,11530520
구로3동,175,5481,1117054,구로3동,11530540
구로4동,717,6027,1117055,구로4동,11530550
구로5동,1018,6811,1117056,구로5동,11530560
고척1동,530,5556,1117061,고척1동,11530720
고척2동,1212,4499,1117062,고척2동,11530730
개봉2동,432,6526,1117064,개봉2동,11530750
개봉3동,587,2267,1117065,개봉3동,11530760
오류1동,676,4262,1117067,오류1동,11530770
오류2동,529,9695,1117068,오류2동,11530780
수궁동,334,1510,1117069,수궁동,11530790
가리봉동,997,114,1117070,가리봉동,11530595
구로2동,2672,1962,1117071,구로2동,11530530
개봉1동,1285,6071,1117072,개봉1동,11530740
