AD_CD,대표자_남자,대표자_여자,사업체_총합,대표자_20대이하,대표자_30대,대표자_40대,대표자_50대,대표자_60대,대표자_70대이상,조직형태_개인사업체,조직형태_회사법인,조직형태_회사이외법인,조직형태_비법인단체,조직형태_국가지자체
1106087,3210,1320,4530,83,605,1226,1683,736,197,3657,743,42,73,15
1106088,1979,1167,3146,63,430,823,1134,599,97,2790,271,22,54,9
1106089,923,596,1519,43,229,370,489,286,102,1384,59,35,36,5
1106090,453,249,702,12,66,177,235,164,48,643,28,6,21,4
1106091,1620,622,2242,44,279,548,766,463,142,1873,283,22,55,9
1107052,1361,630,1991,44,219,545,755,361,67,1815,122,11,39,4
1107054,714,375,1089,24,127,238,457,194,49,968,51,22,38,10
1107055,666,266,932,9,101,219,381,185,37,839,67,5,18,3
1107057,948,525,1473,29,148,355,550,310,81,1353,58,7,50,5
1107059,758,358,1116,21,144,295,400,221,35,910,145,17,36,8
1107060,1332,749,2081,44,255,507,793,376,106,1758,204,20,97,2
1107061,712,335,1047,13,99,291,414,197,33,915,67,12,45,8
1107062,1372,764,2136,43,225,513,822,427,106,1923,142,14,51,6
1107064,983,532,1515,37,196,386,543,295,58,1295,138,25,50,7
1107065,1248,527,1775,35,204,438,690,339,69,1592,121,9,46,7
1107068,705,384,1089,20,101,280,420,219,49,1009,43,4,29,4
1107069,1234,543,1777,31,207,468,661,349,61,1528,143,31,69,6
1107070,720,423,1143,18,135,317,425,212,36,989,94,11,34,15
1107071,1524,881,2405,37,264,629,924,454,97,2249,88,14,47,7
1107072,2093,735,2828,47,256,580,1083,707,155,2657,85,20,57,9
1107073,1965,925,2890,52,285,703,1115,604,131,2564,202,46,67,11
1108058,246,141,387,6,40,101,127,87,26,327,21,10,26,3
1108059,202,167,369,4,43,112,121,76,13,313,18,18,18,2
1108060,1016,438,1454,50,271,440,423,199,71,1080,259,73,38,4
1108061,1053,389,1442,20,135,359,523,312,93,1303,90,20,21,8
1108062,489,266,755,11,87,180,246,177,54,686,25,13,27,4
1108063,599,299,898,22,101,213,290,203,69,799,44,13,34,8
1108064,433,254,687,18,59,156,237,163,54,552,40,34,54,7
1108065,585,291,876,12,104,216,282,199,63,757,41,18,54,6
1108066,609,489,1098,16,159,279,305,237,102,997,49,10,31,11
1108068,653,545,1198,28,230,341,327,211,61,1014,138,11,30,5
1108071,897,456,1353,21,156,337,487,270,82,1182,89,30,44,8
1108072,1035,571,1606,35,211,481,549,253,77,1381,128,46,44,7
1108076,687,367,1054,20,103,251,387,231,62,988,23,7,31,5
1108077,1059,579,1638,34,154,390,620,330,110,1527,61,9,34,7
1108078,647,255,902,11,79,211,352,195,54,812,52,7,27,4
1108081,650,427,1077,25,136,296,336,190,94,798,168,48,53,10
1108082,1142,747,1889,46,255,533,607,340,108,1592,179,51,53,14
1108083,1144,755,1899,73,366,522,548,284,106,1620,190,40,41,8
1108084,1271,735,2006,36,232,561,660,397,120,1806,104,21,63,12
1108085,1390,712,2102,40,243,534,742,439,104,1906,126,13,42,15
1109060,1079,654,1733,50,243,449,625,301,65,1429,249,16,33,6
1109061,504,146,650,6,57,148,255,143,41,527,52,23,36,12
1109062,652,214,866,14,67,191,313,229,52,763,41,20,36,6
1109063,908,554,1462,22,152,304,540,329,115,1314,57,19,61,11
1109064,865,492,1357,20,167,328,483,275,84,1206,52,12,84,3
1109065,1367,938,2305,60,358,539,848,391,109,2083,155,18,42,7
1109069,744,415,1159,15,116,276,413,251,88,1051,25,12,63,8
1109070,1030,625,1655,44,214,418,607,290,82,1482,99,31,40,3
1109071,1292,712,2004,36,309,492,701,377,89,1735,175,26,60,8
1109072,1370,818,2188,37,240,515,796,419,181,1987,108,22,63,8
1109073,462,299,761,19,131,223,243,115,30,706,19,3,27,6
1109074,616,380,996,19,110,204,353,243,67,895,38,15,45,3
1109075,1027,491,1518,18,150,299,566,368,117,1372,55,18,63,10
1110051,609,301,910,26,74,219,327,203,61,800,41,17,44,8
1110052,818,460,1278,22,161,347,473,228,47,1101,101,8,62,6
1110053,630,330,960,20,133,259,328,177,43,849,61,11,35,4
1110054,381,230,611,13,47,140,239,145,27,560,10,13,27,1
1110055,1433,913,2346,48,270,663,884,396,85,2060,161,19,93,13
1110056,806,416,1222,14,121,301,478,251,57,1135,21,12,51,3
1110057,601,262,863,10,67,206,337,197,46,766,33,7,50,7
1110059,964,397,1361,14,129,299,495,341,83,1250,56,9,40,6
1110060,914,454,1368,20,152,382,500,261,53,1250,59,8,46,5
1110061,620,341,961,17,98,229,371,207,39,901,24,3,29,4
1110062,860,433,1293,20,125,340,496,261,51,1036,179,23,46,9
1110063,1637,513,2150,22,218,443,800,551,116,1905,149,19,69,8
1110064,1078,595,1673,26,137,403,648,350,109,1448,117,19,81,8
1110065,962,497,1459,31,147,358,486,357,80,1262,114,21,54,8
1111051,937,484,1421,18,180,400,469,292,62,1261,76,23,59,2
1111052,716,255,971,19,105,200,332,263,52,876,40,14,33,8
1111053,645,300,945,11,75,238,355,217,49,844,59,4,30,8
1111056,1277,607,1884,50,215,499,654,390,76,1596,132,61,74,21
1111058,625,360,985,14,91,256,423,164,37,774,117,31,54,9
1111059,254,116,370,3,20,79,159,100,9,344,5,1,16,4
1111060,731,430,1161,21,133,384,397,186,40,1013,75,14,52,7
1111061,571,369,940,20,85,317,346,146,26,809,74,11,41,5
1111064,620,417,1037,32,112,303,376,182,32,911,55,17,49,5
1111065,2327,691,3018,36,235,598,1122,872,155,2702,191,24,87,14
1111066,1400,1056,2456,74,477,706,788,333,78,2164,196,24,67,5
1111069,813,540,1353,39,149,373,493,232,67,1217,53,6,75,2
1111072,328,230,558,7,58,144,197,128,24,516,16,2,16,8
1111073,430,266,696,14,58,155,264,180,25,647,20,7,16,6
1111074,302,156,458,4,53,103,163,113,22,404,23,10,14,7
1111076,1053,582,1635,26,149,372,587,377,124,1446,58,14,110,7
1111077,1212,677,1889,33,210,570,647,358,71,1511,260,44,58,16
1111078,744,601,1345,25,181,371,472,265,31,1210,69,20,35,11
1111079,1842,863,2705,47,321,720,969,534,114,2250,307,48,91,9
1112051,1255,595,1850,28,203,471,693,361,94,1482,187,85,84,12
1112052,989,695,1684,28,198,397,627,347,87,1465,117,33,65,4
1112055,872,530,1402,37,195,388,452,247,83,1255,95,13,36,3
1112056,895,646,1541,46,211,447,481,291,65,1386,84,25,42,4
1112057,811,394,1205,14,110,326,419,272,64,1054,54,26,61,10
1112058,1369,1153,2522,64,321,719,795,463,160,2278,166,17,54,7
1112059,1022,670,1692,34,223,463,567,301,104,1431,177,25,51,8
1112060,428,256,684,8,75,163,226,162,50,633,15,8,22,6
1112065,798,451,1249,17,141,307,443,276,65,1110,61,25,50,3
1112066,1318,281,1599,12,99,269,540,552,127,1507,30,18,36,8
1112067,750,396,1146,22,127,271,406,255,65,989,98,17,37,5
1112068,484,251,735,3,57,133,295,183,64,640,58,15,16,6
1112071,738,518,1256,25,185,387,388,215,56,1066,65,24,81,20
1112072,753,569,1322,22,113,286,490,300,111,1186,51,17,51,17
1112073,1068,703,1771,37,210,394,625,389,116,1624,57,27,57,6
1112074,1600,921,2521,57,309,680,938,446,91,2234,168,26,87,6
1113052,529,373,902,14,74,223,310,210,71,779,43,33,37,10
1113062,653,435,1088,17,116,299,403,183,70,917,88,18,60,5
1113064,731,518,1249,18,132,286,406,287,120,1116,64,23,40,6
1113065,319,249,568,15,62,132,216,106,37,483,28,20,35,2
1113066,596,358,954,12,99,203,314,240,86,840,45,21,42,6
1113068,755,377,1132,28,114,266,421,237,66,980,65,28,52,7
1113069,355,321,676,9,54,104,231,192,86,637,21,5,12,1
1113070,904,541,1445,28,172,357,519,281,88,1287,78,24,51,5
1113071,438,193,631,11,93,169,194,133,31,544,60,3,19,5
1113072,1734,615,2349,30,223,485,818,640,153,2175,95,19,55,5
1113073,1212,610,1822,30,184,456,701,343,108,1077,546,122,65,12
1113074,495,255,750,13,67,178,257,178,57,682,25,21,18,4
1113075,2179,1568,3747,181,844,1024,1035,499,164,2858,656,149,73,11
1113076,1459,840,2299,55,352,615,699,423,155,1862,301,48,72,16
1114059,1876,777,2653,29,354,913,861,382,114,1422,1041,108,73,9
1114060,1069,566,1635,51,249,482,504,255,94,1241,275,62,47,10
1114061,449,261,710,19,90,192,243,113,53,559,95,15,31,10
1114063,828,343,1171,24,132,338,381,227,69,897,187,32,46,9
1114066,6587,3149,9736,419,2604,3328,2279,861,245,6633,2853,145,93,12
1114068,1466,654,2120,73,424,631,642,271,79,1433,601,40,40,6
1114069,1226,502,1728,49,244,448,546,351,90,1538,137,14,34,5
1114070,881,487,1368,38,208,374,452,238,58,1152,157,8,45,6
1114071,910,496,1406,58,364,427,337,163,57,1066,283,23,32,2
1114072,1106,416,1522,23,217,516,488,203,75,974,452,46,45,5
1114073,1165,649,1814,35,195,526,661,327,70,1422,282,25,68,17
1114074,1500,742,2242,68,451,744,680,246,53,1325,758,88,54,17
1114075,1389,655,2044,37,278,631,654,327,117,1293,642,56,50,3
1114076,1143,592,1735,91,440,553,416,180,55,1300,349,40,39,7
1114077,1792,934,2726,43,302,795,933,461,192,2019,516,99,76,16
1114078,1216,678,1894,39,223,525,643,324,140,1291,519,43,34,7
1115051,1814,1147,2961,69,522,1034,932,347,57,2000,837,67,49,8
1115052,724,434,1158,25,138,296,440,226,33,987,109,9,50,3
1115053,703,510,1213,29,160,320,463,200,41,1082,78,15,34,4
1115054,723,605,1328,22,175,374,490,233,34,1195,72,6,53,2
1115057,1113,634,1747,24,165,441,691,355,71,1563,113,6,60,5
1115058,880,358,1238,22,130,285,502,269,30,1063,102,10,57,6
1115059,688,286,974,16,91,240,376,207,44,822,102,12,27,11
1115060,741,393,1134,15,127,258,444,253,37,1012,58,7,55,2
1115061,662,336,998,23,100,247,429,173,26,874,73,8,35,8
1115062,1333,242,1575,9,64,237,672,508,85,1480,63,11,18,3
1115063,934,441,1375,20,125,327,539,300,64,1188,106,6,69,6
1115064,611,505,1116,25,132,322,399,189,49,966,84,18,39,9
1115065,636,452,1088,21,161,324,385,173,24,960,70,12,42,4
1115066,1339,674,2013,39,219,494,779,414,68,1692,210,24,71,16
1115069,444,294,738,21,122,219,251,101,24,579,92,16,37,14
1115070,658,326,984,21,105,272,371,181,34,844,73,20,39,8
1115071,900,676,1576,31,265,527,520,204,29,1263,225,24,49,15
1115072,1971,1110,3081,68,420,875,1038,559,121,2535,388,53,99,6
1116051,1476,714,2190,51,232,631,841,370,65,1472,596,23,85,14
1116052,1269,611,1880,51,243,564,684,273,65,1230,561,24,60,5
1116053,464,263,727,14,83,188,286,129,27,595,71,17,36,8
1116054,1604,821,2425,52,316,759,842,387,69,1668,608,58,78,13
1116055,812,523,1335,20,176,351,457,272,59,1200,68,15,45,7
1116057,528,293,821,13,118,224,285,154,27,716,70,3,30,2
1116058,727,447,1174,31,159,313,438,192,41,1002,116,16,37,3
1116059,857,544,1401,25,161,342,526,275,72,1262,74,12,48,5
1116061,1155,663,1818,48,291,462,636,306,75,1445,269,49,47,8
1116063,702,465,1167,25,177,298,408,229,30,1058,52,16,39,2
1116064,1056,402,1458,29,174,448,546,237,24,913,471,21,46,7
1116065,426,226,652,14,77,165,235,141,20,471,108,25,40,8
1116066,700,188,888,15,74,265,346,156,32,510,330,11,28,9
1116067,1534,754,2288,36,264,649,839,407,93,1763,393,44,77,11
1116069,1294,591,1885,44,230,564,691,299,57,1344,444,29,51,17
1116070,2646,903,3549,44,316,746,1387,908,148,3218,206,19,99,7
1116071,1234,769,2003,43,304,491,729,350,86,1500,383,28,81,11
1116072,647,266,913,10,85,213,384,185,36,717,115,17,50,14
1116073,1891,1185,3076,76,463,749,1084,586,118,2718,223,21,106,8
1116074,970,653,1623,39,255,440,539,274,76,1371,158,23,65,6
1117051,1938,761,2699,74,341,702,1030,450,102,2023,576,29,58,13
1117052,476,246,722,10,91,195,260,143,23,601,76,5,32,8
1117054,5387,1410,6797,153,979,2475,2292,754,144,2747,3800,153,84,13
1117055,1094,902,1996,46,225,513,713,402,97,1749,141,32,61,13
1117056,3511,1301,4812,107,673,1294,1632,932,174,3700,936,61,100,15
1117061,1878,675,2553,40,223,621,1057,517,95,2165,307,20,50,11
1117062,899,524,1423,18,146,404,530,270,55,1288,62,20,44,9
1117064,722,409,1131,16,136,244,414,281,40,1041,45,9,34,2
1117065,609,383,992,9,112,241,379,207,44,876,59,6,44,7
1117067,689,402,1091,21,127,271,352,251,69,932,103,19,33,4
1117068,1038,480,1518,30,167,408,528,325,60,1265,125,40,76,12
1117069,859,340,1199,22,110,277,433,291,66,964,135,31,61,8
1117070,529,417,946,24,92,238,338,190,64,852,48,14,29,3
1117071,6130,1730,7860,73,817,2585,2903,1206,276,5932,1790,57,72,9
1117072,1086,620,1706,28,186,423,648,344,77,1500,115,23,60,8
1118051,10383,2662,13045,212,1684,4884,4629,1407,229,5573,7166,210,85,11
1118052,2787,1079,3866,64,380,1067,1515,669,171,2902,852,34,65,13
1118053,744,418,1162,26,119,297,437,231,52,1044,54,10,49,5
1118054,1390,799,2189,44,202,532,872,440,99,1979,104,29,65,12
1118055,600,389,989,19,99,245,403,178,45,886,54,12,32,5
1118057,1777,1128,2905,60,281,682,1115,628,139,2501,250,28,113,13
1118058,400,163,563,12,50,135,224,116,26,503,13,12,31,4
1118059,2751,609,3360,39,256,958,1442,555,110,2575,736,13,29,7
1118060,560,287,847,19,75,184,321,212,36,761,11,16,54,5
1118061,688,466,1154,17,111,280,435,245,66,1028,34,11,76,5
1119054,5887,2277,8164,134,1050,2396,2828,1312,444,3709,3801,442,178,34
1119055,2329,959,3288,58,391,897,1132,616,194,2431,685,90,74,8
1119056,1632,794,2426,31,348,747,825,365,110,1587,717,62,50,10
1119061,2777,562,3339,48,298,775,1254,819,145,2532,694,53,54,6
1119062,1601,594,2195,24,269,663,764,367,108,1319,793,36,37,10
1119063,732,449,1181,21,135,272,407,252,94,1030,89,27,32,3
1119065,617,396,1013,9,84,243,369,233,75,913,55,16,27,2
1119066,355,194,549,10,43,131,196,126,43,484,33,7,23,2
1119067,473,229,702,22,66,172,258,143,41,605,47,20,23,7
1119068,837,484,1321,32,137,325,488,260,79,1129,111,30,46,5
1119069,356,190,546,14,54,138,194,117,29,421,86,18,15,6
1119070,695,496,1191,20,123,279,451,248,70,1034,90,21,42,4
1119071,761,581,1342,47,165,354,498,218,60,1204,96,10,25,7
1119072,2113,737,2850,45,269,710,1034,672,120,2424,323,32,64,7
1119073,872,604,1476,22,257,386,470,266,75,1214,179,21,54,8
1119074,4440,2079,6519,101,779,1478,2261,1406,494,5026,1271,115,97,10
1119075,662,347,1009,21,114,296,367,165,46,849,105,16,36,3
1119076,4305,1096,5401,67,579,1456,2124,938,237,3924,1318,64,82,13
1120052,964,501,1465,28,151,315,515,334,122,1287,126,19,28,5
1120053,1013,671,1684,26,262,461,538,307,90,1417,149,42,69,7
1120054,730,535,1265,24,144,302,434,275,86,1101,90,26,40,8
1120055,548,381,929,15,103,224,316,203,68,842,37,8,38,4
1120056,626,354,980,20,92,211,358,238,61,886,27,16,48,3
1120063,1181,669,1850,43,255,473,658,336,85,1441,313,37,55,4
1120065,644,336,980,13,128,265,310,202,62,801,86,23,63,7
1120066,404,267,671,11,79,160,232,155,34,600,31,9,29,2
1120067,343,147,490,10,76,118,168,103,15,409,35,13,27,6
1120068,1018,610,1628,30,206,460,499,349,84,1282,231,49,55,11
1120069,623,426,1049,14,122,279,371,207,56,880,118,18,28,5
1120070,773,456,1229,24,151,342,429,218,65,890,218,34,71,16
1120071,863,665,1528,32,192,392,501,301,110,1311,106,53,52,6
1120072,1335,940,2275,44,271,507,746,473,234,2034,157,24,46,14
1120073,951,635,1586,38,244,400,533,289,82,1352,141,24,65,4
1121052,815,606,1421,39,259,365,468,230,60,1158,194,24,41,4
1121054,241,201,442,9,70,98,142,90,33,409,9,5,18,1
1121057,863,564,1427,39,211,373,458,279,67,1217,119,31,49,11
1121058,782,465,1247,41,200,305,397,234,70,987,179,31,45,5
1121061,1089,376,1465,19,175,282,481,400,108,1305,114,10,34,2
1121062,675,419,1094,35,152,278,356,218,55,972,78,9,31,4
1121063,561,352,913,27,136,210,317,179,44,715,149,17,24,8
1121064,774,528,1302,34,261,324,401,224,58,1100,141,23,34,4
1121065,495,334,829,16,86,196,303,171,57,764,24,5,32,4
1121066,580,324,904,24,84,199,314,228,55,829,29,4,37,5
1121068,906,522,1428,28,181,359,550,265,45,1277,99,10,39,3
1121069,928,706,1634,55,297,442,483,271,86,1504,96,8,23,3
1121071,254,144,398,7,58,103,130,81,19,352,14,4,24,4
1121072,1370,696,2066,35,231,507,758,430,105,1812,182,20,48,4
1121073,1085,639,1724,53,240,408,520,374,129,1402,140,91,77,14
1121078,1069,574,1643,25,200,392,584,357,85,1391,137,29,78,8
1121079,558,277,835,14,107,201,283,165,65,736,31,5,57,6
1121080,1161,748,1909,61,234,514,610,363,127,1573,202,44,75,15
1121081,640,278,918,15,98,208,319,210,68,845,12,11,45,5
1121082,674,377,1051,17,78,193,391,281,91,955,15,23,53,5
1121083,1043,542,1585,27,170,367,588,351,82,1390,98,15,72,10
1122051,2692,963,3655,70,472,1183,1135,613,182,2063,1335,173,72,12
1122052,3258,1262,4520,91,690,1408,1430,725,176,2191,2054,165,96,14
1122053,5728,1790,7518,120,914,2352,2568,1160,404,4233,2498,632,132,23
1122054,2007,947,2954,50,438,930,939,449,148,2052,728,124,44,6
1122055,1614,832,2446,43,394,830,774,324,81,1559,789,37,55,6
