AD_CD,대표자_남자,대표자_여자,사업체_총합,대표자_20대이하,대표자_30대,대표자_40대,대표자_50대,대표자_60대,대표자_70대이상,조직형태_개인사업체,조직형태_회사법인,조직형태_회사이외법인,조직형태_비법인단체,조직형태_국가지자체
1124071,1949,1083,3032,58,515,882,984,474,119,2346,588,38,54,6
1124075,249,230,479,8,81,122,158,96,14,421,31,5,14,8
1124077,1696,749,2445,48,312,608,863,498,116,1552,781,71,32,9
1124078,93,103,196,1,14,49,82,40,10,163,16,7,7,3
1124079,413,369,782,19,144,243,237,113,26,625,73,13,54,17
1124080,779,744,1523,36,284,482,439,219,63,1187,299,11,16,10
1124081,978,466,1444,22,189,402,505,273,53,1115,217,18,87,7
1125051,638,274,912,8,120,252,312,182,38,746,104,18,35,9
1125053,906,749,1655,39,222,438,576,303,77,1481,112,14,40,8
1125054,713,591,1304,35,176,395,452,211,35,1115,142,8,34,5
1125055,371,210,581,13,37,147,248,124,12,508,30,13,24,6
1125056,1571,227,1798,4,90,199,614,733,158,1718,27,23,23,7
1125058,514,305,819,16,115,203,281,169,35,715,69,11,19,5
1125059,390,206,596,10,72,166,192,133,23,525,40,3,22,6
1125061,1010,494,1504,28,153,382,562,321,58,1315,121,23,38,7
1125063,1142,674,1816,51,231,452,624,379,79,1550,175,30,58,3
1125065,1467,623,2090,34,265,586,745,379,81,1485,495,43,53,14
1125066,1217,733,1950,54,267,500,684,376,69,1670,212,16,50,2
1125067,1504,918,2422,58,335,636,896,409,88,2002,340,23,55,2
1125070,240,176,416,5,23,67,179,124,18,382,18,4,7,5
1125071,1017,548,1565,28,173,381,596,308,79,1290,165,31,71,8
1125072,1197,695,1892,34,247,470,649,409,83,1710,102,15,60,5
1125073,2233,1452,3685,74,616,978,1202,631,184,3115,453,35,75,7
1125074,2558,1410,3968,64,533,1009,1420,774,168,3370,455,32,96,15
