`atdrc_code_se`|`atdrc_nm`|`stdr_ym`|`tot_popltn_co`|`tot_hshld_co`|`hshld_popltn_avrg_co`|`male_popltn_co`|`female_popltn_co`|`ldadng_dt`
`종로구`|`11110`|`201801`|`154619`|`73562`|`2.1`|`75854`|`78765`|`2018-07-25 10:18:33`
`중구`|`11140`|`201801`|`125786`|`60520`|`2.08`|`62267`|`63519`|`2018-07-25 10:18:33`
`용산구`|`11170`|`201801`|`229541`|`107979`|`2.13`|`111100`|`118441`|`2018-07-25 10:18:33`
`성동구`|`11200`|`201801`|`304955`|`133233`|`2.29`|`150316`|`154639`|`2018-07-25 10:18:33`
`광진구`|`11215`|`201801`|`357785`|`161143`|`2.22`|`174428`|`183357`|`2018-07-25 10:18:33`
`동대문구`|`11230`|`201801`|`350118`|`159955`|`2.19`|`175005`|`175113`|`2018-07-25 10:18:33`
`중랑구`|`11260`|`201801`|`407731`|`179184`|`2.28`|`203027`|`204704`|`2018-07-25 10:18:33`
`성북구`|`11290`|`201801`|`443297`|`186939`|`2.37`|`216094`|`227203`|`2018-07-25 10:18:33`
`강북구`|`11305`|`201801`|`324288`|`142708`|`2.27`|`158787`|`165501`|`2018-07-25 10:18:33`
`도봉구`|`11320`|`201801`|`343875`|`137459`|`2.5`|`168572`|`175303`|`2018-07-25 10:18:33`
`노원구`|`11350`|`201801`|`553264`|`217375`|`2.55`|`268939`|`284325`|`2018-07-25 10:18:33`
`은평구`|`11380`|`201801`|`486551`|`203009`|`2.4`|`236140`|`250411`|`2018-07-25 10:18:33`
`서대문구`|`11410`|`201801`|`312655`|`137416`|`2.28`|`151028`|`161627`|`2018-07-25 10:18:33`
`마포구`|`11440`|`201801`|`374778`|`169586`|`2.21`|`178870`|`195908`|`2018-07-25 10:18:33`
`양천구`|`11470`|`201801`|`470684`|`176650`|`2.66`|`232224`|`238460`|`2018-07-25 10:18:33`
`강서구`|`11500`|`201801`|`601753`|`254783`|`2.36`|`292964`|`308789`|`2018-07-25 10:18:33`
`구로구`|`11530`|`201801`|`409832`|`171468`|`2.39`|`203580`|`206252`|`2018-07-25 10:18:33`
`금천구`|`11545`|`201801`|`235050`|`106262`|`2.21`|`119449`|`115601`|`2018-07-25 10:18:33`
`영등포구`|`11560`|`201801`|`368910`|`167854`|`2.2`|`184145`|`184765`|`2018-07-25 10:18:33`
`동작구`|`11590`|`201801`|`395520`|`173019`|`2.29`|`192817`|`202703`|`2018-07-25 10:18:33`
`관악구`|`11620`|`201801`|`503657`|`256311`|`1.97`|`253711`|`249946`|`2018-07-25 10:18:33`
`서초구`|`11650`|`201801`|`441088`|`173802`|`2.54`|`211271`|`229817`|`2018-07-25 10:18:33`
`강남구`|`11680`|`201801`|`555622`|`231521`|`2.4`|`266129`|`289493`|`2018-07-25 10:18:33`
`송파구`|`11710`|`201801`|`665068`|`265311`|`2.51`|`323320`|`341748`|`2018-07-25 10:18:33`
`강동구`|`11740`|`201801`|`435340`|`177338`|`2.45`|`216308`|`219032`|`2018-07-25 10:18:33`
`종로구`|`11110`|`201802`|`154509`|`73570`|`2.1`|`75746`|`78763`|`2018-07-25 10:18:33`
`중구`|`11140`|`201802`|`125945`|`60689`|`2.08`|`62328`|`63617`|`2018-07-25 10:18:33`
`용산구`|`11170`|`201802`|`229770`|`108280`|`2.12`|`111186`|`118584`|`2018-07-25 10:18:33`
`성동구`|`11200`|`201802`|`305200`|`133644`|`2.28`|`150362`|`154838`|`2018-07-25 10:18:33`
`광진구`|`11215`|`201802`|`357700`|`161397`|`2.22`|`174323`|`183377`|`2018-07-25 10:18:33`
`동대문구`|`11230`|`201802`|`349901`|`160296`|`2.18`|`174810`|`175091`|`2018-07-25 10:18:33`
`중랑구`|`11260`|`201802`|`407137`|`179365`|`2.27`|`202739`|`204398`|`2018-07-25 10:18:33`
`성북구`|`11290`|`201802`|`442827`|`187221`|`2.37`|`215786`|`227041`|`2018-07-25 10:18:33`
`강북구`|`11305`|`201802`|`324008`|`142900`|`2.27`|`158592`|`165416`|`2018-07-25 10:18:33`
`도봉구`|`11320`|`201802`|`343407`|`137542`|`2.5`|`168316`|`175091`|`2018-07-25 10:18:33`
`노원구`|`11350`|`201802`|`552039`|`217244`|`2.54`|`268237`|`283802`|`2018-07-25 10:18:33`
`은평구`|`11380`|`201802`|`486231`|`203293`|`2.39`|`235946`|`250285`|`2018-07-25 10:18:33`
`서대문구`|`11410`|`201802`|`312625`|`137701`|`2.27`|`151018`|`161607`|`2018-07-25 10:18:33`
`마포구`|`11440`|`201802`|`374794`|`169996`|`2.2`|`178820`|`195974`|`2018-07-25 10:18:33`
`양천구`|`11470`|`201802`|`470290`|`176725`|`2.66`|`232019`|`238271`|`2018-07-25 10:18:33`
`강서구`|`11500`|`201802`|`601850`|`255379`|`2.36`|`292960`|`308890`|`2018-07-25 10:18:33`
`구로구`|`11530`|`201802`|`408629`|`171426`|`2.38`|`202908`|`205721`|`2018-07-25 10:18:33`
`금천구`|`11545`|`201802`|`234636`|`106305`|`2.21`|`119259`|`115377`|`2018-07-25 10:18:33`
`영등포구`|`11560`|`201802`|`368999`|`168381`|`2.19`|`184177`|`184822`|`2018-07-25 10:18:33`
`동작구`|`11590`|`201802`|`394899`|`173304`|`2.28`|`192515`|`202384`|`2018-07-25 10:18:33`
`관악구`|`11620`|`201802`|`503819`|`257333`|`1.96`|`253695`|`250124`|`2018-07-25 10:18:33`
`서초구`|`11650`|`201802`|`441360`|`174139`|`2.53`|`211342`|`230018`|`2018-07-25 10:18:33`
`강남구`|`11680`|`201802`|`554772`|`231560`|`2.4`|`265688`|`289084`|`2018-07-25 10:18:33`
`송파구`|`11710`|`201802`|`665279`|`265977`|`2.5`|`323298`|`341981`|`2018-07-25 10:18:33`
`강동구`|`11740`|`201802`|`434710`|`177463`|`2.45`|`216001`|`218709`|`2018-07-25 10:18:33`
`종로구`|`11110`|`201803`|`154549`|`73879`|`2.09`|`75749`|`78800`|`2018-07-25 10:18:33`
`중구`|`11140`|`201803`|`126082`|`60903`|`2.07`|`62376`|`63706`|`2018-07-25 10:18:33`
`용산구`|`11170`|`201803`|`229909`|`108497`|`2.12`|`111262`|`118647`|`2018-07-25 10:18:33`
`성동구`|`11200`|`201803`|`306532`|`134543`|`2.28`|`150937`|`155595`|`2018-07-25 10:18:33`
`광진구`|`11215`|`201803`|`357149`|`161407`|`2.21`|`173946`|`183203`|`2018-07-25 10:18:33`
`동대문구`|`11230`|`201803`|`349308`|`160489`|`2.18`|`174476`|`174832`|`2018-07-25 10:18:33`
`중랑구`|`11260`|`201803`|`406868`|`179600`|`2.27`|`202526`|`204342`|`2018-07-25 10:18:33`
`성북구`|`11290`|`201803`|`442226`|`187234`|`2.36`|`215421`|`226805`|`2018-07-25 10:18:33`
`강북구`|`11305`|`201803`|`323862`|`143139`|`2.26`|`158440`|`165422`|`2018-07-25 10:18:33`
`도봉구`|`11320`|`201803`|`342861`|`137479`|`2.49`|`168009`|`174852`|`2018-07-25 10:18:33`
`노원구`|`11350`|`201803`|`551902`|`217999`|`2.53`|`268144`|`283758`|`2018-07-25 10:18:33`
`은평구`|`11380`|`201803`|`485902`|`203431`|`2.39`|`235674`|`250228`|`2018-07-25 10:18:33`
`서대문구`|`11410`|`201803`|`312311`|`137758`|`2.27`|`150793`|`161518`|`2018-07-25 10:18:33`
`마포구`|`11440`|`201803`|`374742`|`170219`|`2.2`|`178661`|`196081`|`2018-07-25 10:18:33`
`양천구`|`11470`|`201803`|`469221`|`176559`|`2.66`|`231409`|`237812`|`2018-07-25 10:18:33`
`강서구`|`11500`|`201803`|`601696`|`256042`|`2.35`|`292871`|`308825`|`2018-07-25 10:18:33`
`구로구`|`11530`|`201803`|`408369`|`171751`|`2.38`|`202731`|`205638`|`2018-07-25 10:18:33`
`금천구`|`11545`|`201803`|`234238`|`106333`|`2.2`|`119023`|`115215`|`2018-07-25 10:18:33`
`영등포구`|`11560`|`201803`|`369128`|`168784`|`2.19`|`184127`|`185001`|`2018-07-25 10:18:33`
`동작구`|`11590`|`201803`|`394353`|`173544`|`2.27`|`192215`|`202138`|`2018-07-25 10:18:33`
`관악구`|`11620`|`201803`|`504445`|`258536`|`1.95`|`253911`|`250534`|`2018-07-25 10:18:33`
`서초구`|`11650`|`201803`|`440954`|`174225`|`2.53`|`211156`|`229798`|`2018-07-25 10:18:33`
`강남구`|`11680`|`201803`|`552976`|`231219`|`2.39`|`264834`|`288142`|`2018-07-25 10:18:33`
`송파구`|`11710`|`201803`|`665282`|`266550`|`2.5`|`323228`|`342054`|`2018-07-25 10:18:33`
``|`11000`|`202012`|`9668465`|`4417954`|`2.19`|`4701723`|`4966742`|`2021-01-21 15:43:29`
`강동구`|`11740`|`201803`|`434027`|`177490`|`2.45`|`215588`|`218439`|`2018-07-25 10:18:33`
`종로구`|`11110`|`201804`|`154312`|`73857`|`2.09`|`75543`|`78769`|`2018-07-25 10:18:33`
`중구`|`11140`|`201804`|`125986`|`60943`|`2.07`|`62295`|`63691`|`2018-07-25 10:18:33`
`용산구`|`11170`|`201804`|`229939`|`108545`|`2.12`|`111279`|`118660`|`2018-07-25 10:18:33`
`성동구`|`11200`|`201804`|`307460`|`135147`|`2.28`|`151358`|`156102`|`2018-07-25 10:18:33`
`광진구`|`11215`|`201804`|`356757`|`161415`|`2.21`|`173783`|`182974`|`2018-07-25 10:18:33`
`동대문구`|`11230`|`201804`|`348916`|`160524`|`2.17`|`174259`|`174657`|`2018-07-25 10:18:33`
`중랑구`|`11260`|`201804`|`406494`|`179710`|`2.26`|`202313`|`204181`|`2018-07-25 10:18:33`
`성북구`|`11290`|`201804`|`441618`|`187111`|`2.36`|`215078`|`226540`|`2018-07-25 10:18:33`
`강북구`|`11305`|`201804`|`323360`|`143166`|`2.26`|`158209`|`165151`|`2018-07-25 10:18:33`
`도봉구`|`11320`|`201804`|`342528`|`137495`|`2.49`|`167828`|`174700`|`2018-07-25 10:18:33`
`노원구`|`11350`|`201804`|`550978`|`217906`|`2.53`|`267633`|`283345`|`2018-07-25 10:18:33`
`은평구`|`11380`|`201804`|`485572`|`203509`|`2.39`|`235448`|`250124`|`2018-07-25 10:18:33`
`서대문구`|`11410`|`201804`|`311899`|`137769`|`2.26`|`150550`|`161349`|`2018-07-25 10:18:33`
`마포구`|`11440`|`201804`|`374655`|`170351`|`2.2`|`178570`|`196085`|`2018-07-25 10:18:33`
`양천구`|`11470`|`201804`|`468539`|`176452`|`2.66`|`231057`|`237482`|`2018-07-25 10:18:33`
`강서구`|`11500`|`201804`|`601325`|`256361`|`2.35`|`292701`|`308624`|`2018-07-25 10:18:33`
`구로구`|`11530`|`201804`|`407890`|`171852`|`2.37`|`202458`|`205432`|`2018-07-25 10:18:33`
`금천구`|`11545`|`201804`|`233809`|`106284`|`2.2`|`118791`|`115018`|`2018-07-25 10:18:33`
`영등포구`|`11560`|`201804`|`369183`|`169083`|`2.18`|`184100`|`185083`|`2018-07-25 10:18:33`
`동작구`|`11590`|`201804`|`394249`|`173769`|`2.27`|`192116`|`202133`|`2018-07-25 10:18:33`
`관악구`|`11620`|`201804`|`504437`|`259081`|`1.95`|`253811`|`250626`|`2018-07-25 10:18:33`
`서초구`|`11650`|`201804`|`440574`|`174297`|`2.53`|`210982`|`229592`|`2018-07-25 10:18:33`
`강남구`|`11680`|`201804`|`551140`|`230540`|`2.39`|`263930`|`287210`|`2018-07-25 10:18:33`
`송파구`|`11710`|`201804`|`665319`|`267094`|`2.49`|`323157`|`342162`|`2018-07-25 10:18:33`
`강동구`|`11740`|`201804`|`433513`|`177587`|`2.44`|`215265`|`218248`|`2018-07-25 10:18:33`
`종로구`|`11110`|`201805`|`154104`|`73811`|`2.09`|`75421`|`78683`|`2018-07-25 10:18:33`
`중구`|`11140`|`201805`|`126152`|`61069`|`2.07`|`62353`|`63799`|`2018-07-25 10:18:33`
`용산구`|`11170`|`201805`|`229896`|`108552`|`2.12`|`111238`|`118658`|`2018-07-25 10:18:33`
`성동구`|`11200`|`201805`|`307630`|`135399`|`2.27`|`151409`|`156221`|`2018-07-25 10:18:33`
`광진구`|`11215`|`201805`|`356176`|`161369`|`2.21`|`173435`|`182741`|`2018-07-25 10:18:33`
`동대문구`|`11230`|`201805`|`348462`|`160478`|`2.17`|`173973`|`174489`|`2018-07-25 10:18:33`
`중랑구`|`11260`|`201805`|`406102`|`179768`|`2.26`|`202067`|`204035`|`2018-07-25 10:18:33`
`성북구`|`11290`|`201805`|`440937`|`186915`|`2.36`|`214710`|`226227`|`2018-07-25 10:18:33`
`강북구`|`11305`|`201805`|`322802`|`143152`|`2.25`|`157935`|`164867`|`2018-07-25 10:18:33`
`도봉구`|`11320`|`201805`|`342234`|`137543`|`2.49`|`167642`|`174592`|`2018-07-25 10:18:33`
`노원구`|`11350`|`201805`|`550166`|`217797`|`2.53`|`267218`|`282948`|`2018-07-25 10:18:33`
`은평구`|`11380`|`201805`|`485121`|`203542`|`2.38`|`235176`|`249945`|`2018-07-25 10:18:33`
`서대문구`|`11410`|`201805`|`311539`|`137759`|`2.26`|`150310`|`161229`|`2018-07-25 10:18:33`
`마포구`|`11440`|`201805`|`374630`|`170526`|`2.2`|`178518`|`196112`|`2018-07-25 10:18:33`
`양천구`|`11470`|`201805`|`467724`|`176350`|`2.65`|`230624`|`237100`|`2018-07-25 10:18:33`
`강서구`|`11500`|`201805`|`600798`|`256524`|`2.34`|`292295`|`308503`|`2018-07-25 10:18:33`
`구로구`|`11530`|`201805`|`407529`|`171848`|`2.37`|`202189`|`205340`|`2018-07-25 10:18:33`
`금천구`|`11545`|`201805`|`233583`|`106325`|`2.2`|`118679`|`114904`|`2018-07-25 10:18:33`
`영등포구`|`11560`|`201805`|`369230`|`169220`|`2.18`|`184040`|`185190`|`2018-07-25 10:18:33`
`동작구`|`11590`|`201805`|`394564`|`174082`|`2.27`|`192231`|`202333`|`2018-07-25 10:18:33`
`관악구`|`11620`|`201805`|`504027`|`259328`|`1.94`|`253624`|`250403`|`2018-07-25 10:18:33`
`서초구`|`11650`|`201805`|`440166`|`174276`|`2.53`|`210799`|`229367`|`2018-07-25 10:18:33`
`강남구`|`11680`|`201805`|`548745`|`229743`|`2.39`|`262714`|`286031`|`2018-07-25 10:18:33`
`송파구`|`11710`|`201805`|`665620`|`267640`|`2.49`|`323307`|`342313`|`2018-07-25 10:18:33`
`강동구`|`11740`|`201805`|`433034`|`177612`|`2.44`|`214934`|`218100`|`2018-07-25 10:18:33`
`종로구`|`11110`|`201806`|`153780`|`73655`|`2.09`|`75247`|`78533`|`2018-07-25 10:18:33`
`중구`|`11140`|`201806`|`126032`|`61091`|`2.06`|`62260`|`63772`|`2018-07-25 10:18:33`
`용산구`|`11170`|`201806`|`229677`|`108516`|`2.12`|`111078`|`118599`|`2018-07-25 10:18:33`
`성동구`|`11200`|`201806`|`308066`|`135666`|`2.27`|`151571`|`156495`|`2018-07-25 10:18:33`
`광진구`|`11215`|`201806`|`355748`|`161294`|`2.21`|`173216`|`182532`|`2018-07-25 10:18:33`
`동대문구`|`11230`|`201806`|`348903`|`160757`|`2.17`|`174128`|`174775`|`2018-07-25 10:18:33`
`중랑구`|`11260`|`201806`|`405551`|`179690`|`2.26`|`201803`|`203748`|`2018-07-25 10:18:33`
`성북구`|`11290`|`201806`|`440272`|`186696`|`2.36`|`214430`|`225842`|`2018-07-25 10:18:33`
`강북구`|`11305`|`201806`|`322385`|`143187`|`2.25`|`157769`|`164616`|`2018-07-25 10:18:33`
`도봉구`|`11320`|`201806`|`341928`|`137560`|`2.49`|`167465`|`174463`|`2018-07-25 10:18:33`
`노원구`|`11350`|`201806`|`549365`|`217662`|`2.52`|`266826`|`282539`|`2018-07-25 10:18:33`
`은평구`|`11380`|`201806`|`484642`|`203547`|`2.38`|`234905`|`249737`|`2018-07-25 10:18:33`
`서대문구`|`11410`|`201806`|`311280`|`137725`|`2.26`|`150131`|`161149`|`2018-07-25 10:18:33`
`마포구`|`11440`|`201806`|`374691`|`170788`|`2.19`|`178430`|`196261`|`2018-07-25 10:18:33`
`양천구`|`11470`|`201806`|`467151`|`176234`|`2.65`|`230322`|`236829`|`2018-07-25 10:18:33`
`강서구`|`11500`|`201806`|`600257`|`256560`|`2.34`|`291966`|`308291`|`2018-07-25 10:18:33`
`구로구`|`11530`|`201806`|`407235`|`171882`|`2.37`|`202016`|`205219`|`2018-07-25 10:18:33`
`금천구`|`11545`|`201806`|`233263`|`106307`|`2.19`|`118530`|`114733`|`2018-07-25 10:18:33`
`영등포구`|`11560`|`201806`|`369003`|`169264`|`2.18`|`183888`|`185115`|`2018-07-25 10:18:33`
`동작구`|`11590`|`201806`|`394788`|`174427`|`2.26`|`192296`|`202492`|`2018-07-25 10:18:33`
`관악구`|`11620`|`201806`|`504048`|`259681`|`1.94`|`253600`|`250448`|`2018-07-25 10:18:33`
`서초구`|`11650`|`201806`|`439844`|`174268`|`2.52`|`210596`|`229248`|`2018-07-25 10:18:33`
`강남구`|`11680`|`201806`|`546952`|`229160`|`2.39`|`261815`|`285137`|`2018-07-25 10:18:33`
`송파구`|`11710`|`201806`|`666439`|`268325`|`2.48`|`323741`|`342698`|`2018-07-25 10:18:33`
`강동구`|`11740`|`201806`|`432749`|`177605`|`2.44`|`214740`|`218009`|`2018-07-25 10:18:33`
`종로구`|`11110`|`201902`|`152880`|`73814`|`2.07`|`74662`|`78218`|`2019-03-11 09:30:24`
`중구`|`11140`|`201902`|`125995`|`61770`|`2.04`|`62048`|`63947`|`2019-03-11 09:30:24`
`용산구`|`11170`|`201902`|`229279`|`109348`|`2.1`|`110682`|`118597`|`2019-03-11 09:30:24`
`성동구`|`11200`|`201902`|`307064`|`137288`|`2.24`|`150682`|`156382`|`2019-03-11 09:30:24`
`광진구`|`11215`|`201902`|`355387`|`163293`|`2.18`|`172649`|`182738`|`2019-03-11 09:30:24`
`동대문구`|`11230`|`201902`|`347459`|`162229`|`2.14`|`173239`|`174220`|`2019-03-11 09:30:24`
`중랑구`|`11260`|`201902`|`402616`|`180986`|`2.22`|`199996`|`202620`|`2019-03-11 09:30:24`
`성북구`|`11290`|`201902`|`435754`|`187362`|`2.33`|`211649`|`224105`|`2019-03-11 09:30:24`
`강북구`|`11305`|`201902`|`318268`|`143695`|`2.21`|`155596`|`162672`|`2019-03-11 09:30:24`
`도봉구`|`11320`|`201902`|`338373`|`138143`|`2.45`|`165573`|`172800`|`2019-03-11 09:30:24`
`노원구`|`11350`|`201902`|`541800`|`217370`|`2.49`|`262888`|`278912`|`2019-03-11 09:30:24`
`은평구`|`11380`|`201902`|`484070`|`206087`|`2.35`|`234044`|`250026`|`2019-03-11 09:30:24`
`서대문구`|`11410`|`201902`|`311700`|`139589`|`2.23`|`150102`|`161598`|`2019-03-11 09:30:24`
`마포구`|`11440`|`201902`|`375372`|`173351`|`2.17`|`178039`|`197333`|`2019-03-11 09:30:24`
`양천구`|`11470`|`201902`|`463103`|`176620`|`2.62`|`227993`|`235110`|`2019-03-11 09:30:24`
`강서구`|`11500`|`201902`|`596602`|`259692`|`2.3`|`289661`|`306941`|`2019-03-11 09:30:24`
`구로구`|`11530`|`201902`|`403668`|`172835`|`2.34`|`199874`|`203794`|`2019-03-11 09:30:24`
`금천구`|`11545`|`201902`|`234157`|`108671`|`2.15`|`119004`|`115153`|`2019-03-11 09:30:24`
`영등포구`|`11560`|`201902`|`368437`|`172358`|`2.14`|`183440`|`184997`|`2019-03-11 09:30:24`
`동작구`|`11590`|`201902`|`398685`|`179203`|`2.22`|`193624`|`205061`|`2019-03-11 09:30:24`
`관악구`|`11620`|`201902`|`502435`|`264514`|`1.9`|`252249`|`250186`|`2019-03-11 09:30:24`
`서초구`|`11650`|`201902`|`433565`|`173142`|`2.5`|`207645`|`225920`|`2019-03-11 09:30:24`
`강남구`|`11680`|`201902`|`542341`|`229371`|`2.36`|`259712`|`282629`|`2019-03-11 09:30:24`
`송파구`|`11710`|`201902`|`675450`|`275120`|`2.46`|`327592`|`347858`|`2019-03-11 09:30:24`
`강동구`|`11740`|`201902`|`426178`|`177299`|`2.4`|`210962`|`215216`|`2019-03-11 09:30:24`
`종로구`|`11110`|`201905`|`152220`|`73836`|`2.06`|`74240`|`77980`|`2019-06-05 16:22:57`
`중구`|`11140`|`201905`|`125808`|`61873`|`2.03`|`61940`|`63868`|`2019-06-05 16:22:57`
`용산구`|`11170`|`201905`|`228926`|`109507`|`2.09`|`110486`|`118440`|`2019-06-05 16:22:57`
`성동구`|`11200`|`201905`|`305436`|`137024`|`2.23`|`149718`|`155718`|`2019-06-05 16:22:57`
`광진구`|`11215`|`201905`|`354158`|`163862`|`2.16`|`171900`|`182258`|`2019-06-05 16:22:57`
`동대문구`|`11230`|`201905`|`346301`|`162581`|`2.13`|`172425`|`173876`|`2019-06-05 16:22:57`
`중랑구`|`11260`|`201905`|`400933`|`181237`|`2.21`|`199140`|`201793`|`2019-06-05 16:22:57`
`성북구`|`11290`|`201905`|`440082`|`189947`|`2.32`|`213590`|`226492`|`2019-06-05 16:22:57`
`강북구`|`11305`|`201905`|`316044`|`143630`|`2.2`|`154356`|`161688`|`2019-06-05 16:22:57`
`도봉구`|`11320`|`201905`|`337072`|`138426`|`2.44`|`164926`|`172146`|`2019-06-05 16:22:57`
`노원구`|`11350`|`201905`|`539130`|`217622`|`2.48`|`261428`|`277702`|`2019-06-05 16:22:57`
`은평구`|`11380`|`201905`|`483972`|`207003`|`2.34`|`233723`|`250249`|`2019-06-05 16:22:57`
`서대문구`|`11410`|`201905`|`311308`|`139963`|`2.22`|`149823`|`161485`|`2019-06-05 16:22:57`
`마포구`|`11440`|`201905`|`374719`|`173816`|`2.16`|`177584`|`197135`|`2019-06-05 16:22:57`
`양천구`|`11470`|`201905`|`461532`|`176990`|`2.61`|`227140`|`234392`|`2019-06-05 16:22:57`
`강서구`|`11500`|`201905`|`596109`|`261153`|`2.28`|`289201`|`306908`|`2019-06-05 16:22:57`
`구로구`|`11530`|`201905`|`405348`|`174302`|`2.33`|`200593`|`204755`|`2019-06-05 16:22:57`
`금천구`|`11545`|`201905`|`234133`|`109589`|`2.14`|`118913`|`115220`|`2019-06-05 16:22:57`
`영등포구`|`11560`|`201905`|`369064`|`173503`|`2.13`|`183598`|`185466`|`2019-06-05 16:22:57`
`동작구`|`11590`|`201905`|`399084`|`180383`|`2.21`|`193600`|`205484`|`2019-06-05 16:22:57`
`관악구`|`11620`|`201905`|`502329`|`266389`|`1.89`|`252016`|`250313`|`2019-06-05 16:22:57`
`서초구`|`11650`|`201905`|`431751`|`172988`|`2.5`|`206695`|`225056`|`2019-06-05 16:22:57`
`강남구`|`11680`|`201905`|`542344`|`230375`|`2.35`|`259616`|`282728`|`2019-06-05 16:22:57`
`송파구`|`11710`|`201905`|`679842`|`278273`|`2.44`|`329569`|`350273`|`2019-06-05 16:22:57`
`강동구`|`11740`|`201905`|`424417`|`177250`|`2.39`|`209865`|`214552`|`2019-06-05 16:22:57`
`종로구`|`11110`|`201903`|`152778`|`73914`|`2.07`|`74536`|`78242`|`2019-04-02 09:44:01`
`중구`|`11140`|`201903`|`125942`|`61800`|`2.04`|`61992`|`63950`|`2019-04-02 09:44:01`
`용산구`|`11170`|`201903`|`229168`|`109413`|`2.09`|`110626`|`118542`|`2019-04-02 09:44:01`
`성동구`|`11200`|`201903`|`306404`|`137247`|`2.23`|`150287`|`156117`|`2019-04-02 09:44:01`
`광진구`|`11215`|`201903`|`354873`|`163460`|`2.17`|`172361`|`182512`|`2019-04-02 09:44:01`
`동대문구`|`11230`|`201903`|`346750`|`162228`|`2.14`|`172784`|`173966`|`2019-04-02 09:44:01`
`중랑구`|`11260`|`201903`|`402203`|`181182`|`2.22`|`199730`|`202473`|`2019-04-02 09:44:01`
`성북구`|`11290`|`201903`|`438245`|`188670`|`2.32`|`212830`|`225415`|`2019-04-02 09:44:01`
`강북구`|`11305`|`201903`|`317386`|`143663`|`2.21`|`155075`|`162311`|`2019-04-02 09:44:01`
`도봉구`|`11320`|`201903`|`337820`|`138175`|`2.44`|`165314`|`172506`|`2019-04-02 09:44:01`
`노원구`|`11350`|`201903`|`541174`|`217748`|`2.49`|`262593`|`278581`|`2019-04-02 09:44:01`
`은평구`|`11380`|`201903`|`484274`|`206527`|`2.34`|`234064`|`250210`|`2019-04-02 09:44:01`
`서대문구`|`11410`|`201903`|`311771`|`139811`|`2.23`|`150103`|`161668`|`2019-04-02 09:44:01`
`마포구`|`11440`|`201903`|`375106`|`173517`|`2.16`|`177872`|`197234`|`2019-04-02 09:44:01`
`양천구`|`11470`|`201903`|`462599`|`176680`|`2.62`|`227678`|`234921`|`2019-04-02 09:44:01`
`강서구`|`11500`|`201903`|`596287`|`260152`|`2.29`|`289454`|`306833`|`2019-04-02 09:44:01`
`구로구`|`11530`|`201903`|`404726`|`173585`|`2.33`|`200367`|`204359`|`2019-04-02 09:44:01`
`금천구`|`11545`|`201903`|`233981`|`108823`|`2.15`|`118913`|`115068`|`2019-04-02 09:44:01`
`영등포구`|`11560`|`201903`|`368824`|`172828`|`2.13`|`183493`|`185331`|`2019-04-02 09:44:01`
`동작구`|`11590`|`201903`|`398886`|`179709`|`2.22`|`193622`|`205264`|`2019-04-02 09:44:01`
`관악구`|`11620`|`201903`|`502615`|`265360`|`1.89`|`252307`|`250308`|`2019-04-02 09:44:01`
`서초구`|`11650`|`201903`|`432762`|`172929`|`2.5`|`207206`|`225556`|`2019-04-02 09:44:01`
`종로구`|`11110`|`201807`|`153531`|`73554`|`2.09`|`75111`|`78420`|`2018-08-14 17:21:03`
`중구`|`11140`|`201807`|`125941`|`61075`|`2.06`|`62191`|`63750`|`2018-08-14 17:21:03`
`용산구`|`11170`|`201807`|`229545`|`108552`|`2.11`|`111004`|`118541`|`2018-08-14 17:21:03`
`성동구`|`11200`|`201807`|`308519`|`136000`|`2.27`|`151711`|`156808`|`2018-08-14 17:21:03`
`광진구`|`11215`|`201807`|`355352`|`161293`|`2.2`|`172953`|`182399`|`2018-08-14 17:21:03`
`동대문구`|`11230`|`201807`|`349917`|`161336`|`2.17`|`174581`|`175336`|`2018-08-14 17:21:03`
`중랑구`|`11260`|`201807`|`405118`|`179758`|`2.25`|`201592`|`203526`|`2018-08-14 17:21:03`
`성북구`|`11290`|`201807`|`439292`|`186542`|`2.35`|`213907`|`225385`|`2018-08-14 17:21:03`
`강북구`|`11305`|`201807`|`321757`|`143134`|`2.25`|`157465`|`164292`|`2018-08-14 17:21:03`
`도봉구`|`11320`|`201807`|`341638`|`137657`|`2.48`|`167306`|`174332`|`2018-08-14 17:21:03`
`노원구`|`11350`|`201807`|`548371`|`217528`|`2.52`|`266317`|`282054`|`2018-08-14 17:21:03`
`은평구`|`11380`|`201807`|`484021`|`203528`|`2.38`|`234523`|`249498`|`2018-08-14 17:21:03`
`서대문구`|`11410`|`201807`|`310821`|`137666`|`2.26`|`149875`|`160946`|`2018-08-14 17:21:03`
`마포구`|`11440`|`201807`|`374579`|`170955`|`2.19`|`178318`|`196261`|`2018-08-14 17:21:03`
`양천구`|`11470`|`201807`|`466723`|`176284`|`2.65`|`230084`|`236639`|`2018-08-14 17:21:03`
`강서구`|`11500`|`201807`|`599501`|`256746`|`2.33`|`291473`|`308028`|`2018-08-14 17:21:03`
`구로구`|`11530`|`201807`|`406888`|`171827`|`2.37`|`201853`|`205035`|`2018-08-14 17:21:03`
`금천구`|`11545`|`201807`|`233145`|`106464`|`2.19`|`118472`|`114673`|`2018-08-14 17:21:03`
`영등포구`|`11560`|`201807`|`368733`|`169466`|`2.18`|`183678`|`185055`|`2018-08-14 17:21:03`
`동작구`|`11590`|`201807`|`395095`|`174872`|`2.26`|`192425`|`202670`|`2018-08-14 17:21:03`
