,종목명,현재가,전일비,등락률,액면가,거래량,상장주식수,시가총액,외국인비율,PER,ROE
505,동화약품,"10,080",80,+0.80%,"1,000","57,772","27,931","2,815",3.68,10.17,5.73
506,웰바이오텍,"3,620",10,+0.28%,500,"47,943,696","77,032","2,789",0.58,-22.91,-17.91
507,KEC,"1,907",2,-0.10%,500,"1,905,947","144,763","2,761",2.23,28.46,7.67
508,한화갤러리아,"1,422",35,+2.52%,500,"1,817,114","193,860","2,757",11.37,N/A,N/A
509,KODEX 미국채울트라30년선물(H),"8,595",45,+0.53%,0,"334,432","32,000","2,750",0.07,N/A,N/A
510,TIGER 24-04 회사채(A+이상)액티브,"50,710",85,+0.17%,0,"12,191","5,418","2,747",0.03,N/A,N/A
511,제일약품,"18,630",320,+1.75%,500,"34,979","14,705","2,740",2.64,77.62,-8.03
512,KBSTAR Fn수소경제테마,"10,230",125,+1.24%,0,"61,477","26,750","2,737",0.03,N/A,N/A
513,일진다이아,"19,190",270,+1.43%,"1,000","24,462","14,203","2,726",1.56,-56.78,-1.65
514,현대차증권,"8,580",40,+0.47%,"5,000","24,706","31,713","2,721",2.58,4.37,7.30
515,대동,"11,310",110,-0.96%,"1,000","218,713","24,044","2,719",5.63,5.72,11.11
516,삼양패키징,"17,200",40,-0.23%,"5,000","13,603","15,789","2,716",5.80,24.40,N/A
517,한국철강,"6,360",60,+0.95%,"1,000","113,713","42,450","2,700",9.67,3.77,10.55
518,스틱인베스트먼트,"6,430",120,+1.90%,500,"133,084","41,678","2,680",5.00,24.73,N/A
519,삼익THK,"12,760",30,+0.24%,500,"15,026","21,000","2,680",34.32,21.96,N/A
520,키다리스튜디오,"7,170",190,+2.72%,500,"78,481","36,971","2,651",0.37,-110.31,-1.14
521,AK홀딩스,"19,960",20,+0.10%,"5,000","9,271","13,248","2,644",4.81,-44.16,-10.60
522,광주신세계,"32,950",300,+0.92%,"1,000","3,545","7,957","2,622",10.56,4.57,7.42
523,대상홀딩스,"7,230",30,+0.42%,"1,000","105,576","36,213","2,618",5.68,7.51,4.47
524,경방,"9,530",20,+0.21%,500,"5,096","27,415","2,613",1.11,-17.91,0.59
525,SOL 2차전지소부장Fn,"9,700",20,-0.21%,0,"2,975,928","26,900","2,609",0.25,N/A,N/A
526,SNT홀딩스,"15,990",90,-0.56%,500,"7,162","16,304","2,607",9.62,4.11,5.31
527,케이씨,"19,180",430,+2.29%,500,"30,868","13,554","2,600",8.10,2.75,14.47
528,ACE 베트남VN30(합성),"17,875",100,-0.56%,0,"80,916","14,500","2,592",0.06,N/A,N/A
529,디아이씨,"6,650",70,+1.06%,500,"1,324,641","38,889","2,586",2.75,32.28,3.12
530,코오롱글로벌,"13,640",10,-0.07%,"5,000","24,003","18,933","2,582",1.47,2.61,25.00
531,KODEX 미국달러SOFR금리액티브(합성),"9,950",100,-1.00%,0,"21,478","25,880","2,575",0.00,N/A,N/A
532,한솔제지,"10,810",70,+0.65%,"5,000","37,567","23,801","2,573",7.23,4.91,10.39
533,환인제약,"13,810",10,-0.07%,500,"26,005","18,600","2,569",13.27,11.31,7.36
534,BYC,"411,000","4,000",+0.98%,"5,000",105,625,"2,567",1.52,9.71,7.08
535,STX중공업,"8,990",250,-2.71%,"2,500","616,209","28,553","2,567",1.58,16.17,8.17
536,KBSTAR 미국나스닥100,"14,580",70,+0.48%,0,"66,806","17,600","2,566",0.05,N/A,N/A
537,현대차3우B,"106,600",300,-0.28%,"5,000","6,137","2,404","2,563",17.85,3.24,N/A
538,코오롱모빌리티그룹,"4,035",35,-0.86%,500,"215,501","62,777","2,533",0.80,N/A,N/A
539,한솔테크닉스,"7,880",10,+0.13%,"5,000","99,389","32,110","2,530",13.40,9.83,5.04
540,JW홀딩스,"3,455",105,+3.13%,500,"127,743","72,508","2,505",1.68,7.56,22.13
541,KODEX 23-12 국고채액티브,"10,255",5,+0.05%,0,"13,218","24,410","2,503",0.00,N/A,N/A
542,아주스틸,"9,330",10,+0.11%,500,"25,172","26,452","2,468",20.65,-15.30,0.56
543,한국콜마홀딩스,"13,240",540,-3.92%,500,"154,823","18,577","2,460",14.63,-25.91,-0.98
544,큐로,"1,038",68,-6.15%,500,"8,608,053","236,932","2,459",1.92,17.02,10.85
545,하나제약,"13,820",140,+1.02%,500,"15,433","17,773","2,456",0.00,10.45,9.34
546,세종공업,"8,760",120,-1.35%,500,"207,085","27,821","2,437",8.46,9.18,0.43
547,KODEX CD금리액티브(합성),"1,004,560",105,+0.01%,0,"763,495",242,"2,435",0.00,N/A,N/A
548,테이팩스,"51,100",0,0.00%,500,"11,388","4,752","2,428",7.86,15.57,13.56
549,NPC,"6,610",10,+0.15%,500,"97,175","36,720","2,427",1.45,7.26,8.44
550,일신방직,"10,360",280,+2.78%,500,"10,274","23,280","2,412",8.21,2.31,13.80
551,동양,"1,009",0,0.00%,500,"127,729","238,684","2,408",4.71,25.87,-0.56
552,코오롱,"19,020",80,+0.42%,"5,000","12,081","12,626","2,402",8.76,2.32,15.38
553,자이에스앤디,"6,180",40,-0.64%,"1,000","41,962","38,783","2,397",1.29,3.04,24.11
554,사조대림,"26,000",850,+3.38%,"5,000","11,899","9,164","2,383",4.28,3.16,15.48
555,종근당홀딩스,"47,250",100,+0.21%,"2,500",798,"5,010","2,367",4.40,22.91,0.20
556,에이프로젠바이오로직스,355,1,+0.28%,500,"912,290","665,755","2,363",1.83,25.36,1.69
557,삼영무역,"12,780",60,-0.47%,500,"8,208","18,467","2,360",17.68,4.29,12.23
558,SOL 미국배당다우존스,"9,230",55,-0.59%,0,"433,280","25,500","2,354",0.55,N/A,N/A
559,대창단조,"8,210",290,-3.41%,500,"1,079,329","28,572","2,346",7.16,5.87,16.29
560,태경비케이,"8,470",20,+0.24%,500,"1,731,050","27,583","2,336",1.30,9.70,14.24
561,TIGER 차이나CSI300,"9,150",40,+0.44%,0,"60,552","25,500","2,333",1.32,N/A,N/A
562,대성홀딩스,"14,490",70,+0.49%,"1,000","85,405","16,089","2,331",4.92,1.59,0.76
563,한국금융지주우,"39,700",200,+0.51%,"5,000","4,171","5,858","2,326",15.06,3.87,N/A
564,서연,"9,820",50,+0.51%,500,"122,207","23,480","2,306",5.50,2.93,13.14
565,우진,"11,320",690,+6.49%,500,"3,093,892","20,324","2,301",3.89,19.82,6.38
566,미원홀딩스,"99,000",700,+0.71%,500,784,"2,320","2,297",0.19,14.29,9.54
567,일진홀딩스,"4,645",5,-0.11%,"1,000","129,735","49,347","2,292",4.67,13.42,4.34
568,신세계 I&C,"13,320",130,+0.99%,500,"20,039","17,200","2,291",2.85,2.68,N/A
569,현대비앤지스틸,"15,180",120,-0.78%,"5,000","108,259","15,079","2,289",4.52,-20.51,5.10
570,세방,"11,850",80,+0.68%,500,"148,838","19,309","2,288",11.29,2.86,11.12
571,롯데하이마트,"9,680",430,+4.65%,"5,000","53,165","23,608","2,285",3.61,-0.42,-33.81
572,GS글로벌,"2,760",20,-0.72%,"2,500","578,428","82,534","2,278",3.79,3.37,19.28
573,태경산업,"7,790",50,+0.65%,500,"200,695","29,229","2,277",3.46,11.22,8.42
574,넥센,"4,240",40,-0.93%,500,"39,829","53,544","2,270",1.57,24.65,1.57
575,현대지에프홀딩스,"3,555",15,+0.42%,500,"132,692","63,824","2,269",8.69,2.43,3.06
576,CJ4우(전환),"53,600","1,400",-2.55%,"5,000","13,436","4,227","2,265",3.82,14.66,N/A
577,KBSTAR 미국S&P500,"12,530",15,-0.12%,0,"41,945","18,000","2,255",0.16,N/A,N/A
578,무림P&P,"3,615",15,+0.42%,"2,500","36,339","62,368","2,255",1.83,4.90,7.11
579,동성케미컬,"4,535",5,-0.11%,"1,000","43,879","49,690","2,253",2.83,5.34,9.69
580,신대양제지,"5,570",170,+3.15%,500,"325,657","40,298","2,245",3.91,4.35,8.99
581,대덕,"6,600",90,+1.38%,500,"63,047","33,890","2,237",7.09,13.98,3.21
582,KPX케미칼,"46,150",150,+0.33%,"5,000","2,073","4,840","2,234",27.37,5.76,4.97
583,다올투자증권,"3,645",50,-1.35%,"5,000","348,549","60,911","2,220",7.30,4.40,9.38
584,KBSTAR ESG사회책임투자,"10,565",65,+0.62%,0,"16,116","20,950","2,213",0.06,N/A,N/A
585,TIGER 반도체,"34,045",650,+1.95%,0,"539,665","6,500","2,213",0.13,N/A,N/A
586,부국증권,"21,250",50,-0.23%,"5,000",426,"10,370","2,204",1.36,6.05,6.25
587,대한제분,"130,100",600,+0.46%,"5,000",976,"1,690","2,199",8.79,4.86,4.58
588,LS네트웍스,"2,785",25,-0.89%,"5,000","23,645","78,803","2,195",0.05,36.17,-0.43
589,ACE 단기통안채,"102,005",45,+0.04%,0,"1,899,528","2,146","2,189",0.99,N/A,N/A
590,성신양회,"8,910",130,+1.48%,"5,000","93,750","24,516","2,184",4.64,-8.74,-6.56
591,디아이,"7,710",180,+2.39%,500,"64,390","28,300","2,182",9.31,21.60,9.97
592,금호건설,"5,900",10,+0.17%,"5,000","49,758","36,954","2,180",5.32,10.61,3.54
593,대성에너지,"7,860",30,+0.38%,"1,000","45,585","27,500","2,162",0.50,126.77,-0.24
594,HDC랩스,"8,290",110,+1.34%,500,"3,359","25,958","2,152",4.46,17.38,4.72
595,TIGER 23-12 국공채액티브,"205,320",130,+0.06%,0,579,"1,048","2,151",0.05,N/A,N/A
596,KSS해운,"9,310",0,0.00%,500,"167,795","23,086","2,149",5.92,5.06,12.14
597,하이트진로홀딩스,"9,250",20,+0.22%,"5,000","5,287","23,207","2,147",7.27,9.82,5.62
598,JW생명과학,"13,550",270,+2.03%,"2,500","17,712","15,835","2,146",2.44,11.93,11.01
599,KPX홀딩스,"50,600",200,+0.40%,"5,000",454,"4,225","2,138",27.47,14.63,1.08
600,대교,"2,520",0,0.00%,500,"18,876","84,703","2,135",1.83,-2.09,-29.64
601,LS전선아시아,"6,920",10,-0.14%,500,"49,225","30,625","2,119",1.70,-42.72,-1.27
602,KBSTAR 200TR,"18,415",140,+0.77%,0,"40,359","11,450","2,109",0.00,N/A,N/A
603,그린케미칼,"8,780",20,-0.23%,500,"66,136","24,000","2,107",0.81,-175.60,2.34
604,NI스틸,"7,350",130,-1.74%,500,"81,656","28,600","2,102",5.21,3.93,29.57
605,교촌에프앤비,"8,360",20,+0.24%,500,"9,909","24,983","2,089",0.24,61.47,2.98
606,이월드,"1,465",10,+0.69%,"1,000","71,063","141,806","2,077",0.39,32.56,2.32
607,경동인베스트,"87,500","1,000",+1.16%,"5,000","17,537","2,365","2,069",3.82,19.90,3.23
608,디앤디플랫폼리츠,"3,205",35,+1.10%,"1,000","59,081","64,400","2,064",1.11,27.39,2.40
609,화승인더,"3,725",5,-0.13%,500,"34,125","55,320","2,061",8.48,-48.38,0.24
610,금강공업,"7,010",230,-3.18%,"1,000","1,057,198","29,329","2,056",1.73,4.25,15.03
611,TIGER 일본니케이225,"17,985",205,+1.15%,0,"1,378,501","11,380","2,047",0.01,N/A,N/A
612,경인양행,"4,915",40,-0.81%,500,"110,655","41,616","2,045",3.26,20.83,6.07
613,퍼스텍,"4,185",85,-1.99%,500,"763,031","48,772","2,041",1.03,87.19,3.59
614,ACE 미국30년국채액티브(H),"9,440",50,+0.53%,0,"703,714","21,600","2,039",0.31,N/A,N/A
615,두산우,"51,000",300,-0.58%,"5,000","3,363","3,996","2,038",12.65,-1.51,N/A
616,선진,"8,570",180,+2.15%,500,"88,217","23,780","2,038",11.79,66.95,5.64
617,삼성제약,"3,030",15,+0.50%,500,"422,380","67,162","2,035",4.65,-7.71,-21.83
618,KODEX K-메타버스액티브,"8,660",50,+0.58%,0,"69,144","23,450","2,031",0.92,N/A,N/A
619,삼성출판사,"20,300",200,+1.00%,500,"6,106","10,000","2,030",0.90,13.39,9.48
620,AJ네트웍스,"4,310",0,0.00%,"1,000","31,945","46,822","2,018",3.32,69.52,2.49
621,SOL 200TR,"12,175",100,+0.83%,0,"4,302","16,500","2,009",0.14,N/A,N/A
622,삼성전기우,"68,900","1,400",+2.07%,"5,000","4,362","2,907","2,003",6.75,6.89,N/A
623,사조산업,"40,000",100,-0.25%,"5,000",966,"5,000","2,000",3.42,3.17,14.51
624,제일파마홀딩스,"12,430",70,+0.57%,500,"8,767","15,973","1,985",9.69,-3.18,-19.90
625,KBSTAR IT플러스,"18,840",235,+1.26%,0,"8,231","10,500","1,978",0.03,N/A,N/A
626,LG우,"65,000",300,-0.46%,"5,000","4,113","3,022","1,964",45.31,9.47,N/A
627,경농,"10,030",40,-0.40%,500,"12,119","19,523","1,958",0.71,7.11,12.08
628,KODEX 삼성그룹밸류,"9,365",150,+1.63%,0,"3,302","20,900","1,957",0.00,N/A,N/A
629,TIGER KRX BBIG K-뉴딜,"6,690",120,+1.83%,0,"72,109","29,250","1,957",1.03,N/A,N/A
630,코람코더원리츠,"4,825",65,+1.37%,500,"39,871","40,400","1,949",0.47,77.82,1.58
631,제이에스코퍼레이션,"14,610",0,0.00%,100,"21,893","13,336","1,948",0.67,3.64,28.26
632,흥국화재,"3,030",25,-0.82%,"5,000","30,835","64,243","1,947",1.53,1.01,20.91
633,금호석유우,"64,300",400,+0.63%,"5,000","2,882","3,023","1,944",8.74,2.69,N/A
634,S-Oil우,"48,150",200,+0.42%,"2,500","8,791","4,022","1,937",11.95,3.75,N/A
635,HLB글로벌,"4,570",70,+1.56%,500,"79,598","42,373","1,936",4.75,-17.44,-13.45
636,한세예스24홀딩스,"4,840",15,-0.31%,500,"13,176","40,000","1,936",2.31,23.61,4.80
637,와이투솔루션,"1,052",6,-0.57%,500,"690,684","182,872","1,924",0.78,-20.63,-2.60
638,한독,"13,940",200,+1.46%,500,"14,537","13,764","1,919",1.46,32.05,2.80
639,예스코홀딩스,"31,700",100,+0.32%,"5,000","1,130","6,000","1,902",9.33,16.83,-2.05
640,TIGER 현대차그룹+펀더멘털,"24,810",85,+0.34%,0,"21,392","7,660","1,900",0.00,N/A,N/A
641,백산,"8,230",0,0.00%,500,"58,994","23,010","1,894",2.24,4.61,27.95
642,KODEX 미국나스닥100레버리지(합성 H),"7,335",175,+2.44%,0,"631,228","25,800","1,892",0.38,N/A,N/A
643,KBSTAR 단기종합채권(AA-이상)액티브,"104,625",65,+0.06%,0,"2,485","1,796","1,879",0.00,N/A,N/A
644,TIGER 헬스케어,"26,365",590,+2.29%,0,"123,030","7,100","1,872",0.11,N/A,N/A
645,삼성 인버스 2X WTI원유 선물 ETN,125,5,-3.85%,0,"47,169,601","1,497,000","1,871",0.00,N/A,N/A
646,디와이파워,"16,940",450,-2.59%,500,"180,961","11,042","1,870",5.51,8.17,7.66
647,KOSEF 인도Nifty50(합성),"19,580",95,-0.48%,0,"115,752","9,550","1,870",0.46,N/A,N/A
648,한신기계,"5,760",60,+1.05%,500,"896,935","32,446","1,869",4.55,-49.66,-5.30
649,KODEX 골드선물(H),"12,615",110,+0.88%,0,"86,394","14,800","1,867",0.12,N/A,N/A
650,대성산업,"4,110",60,-1.44%,"5,000","217,095","45,235","1,859",1.58,-14.47,-2.12
651,태림포장,"2,620",25,+0.96%,500,"19,667","70,806","1,855",0.75,11.44,5.25
652,진양홀딩스,"3,315",115,+3.59%,500,"542,279","55,895","1,853",1.80,-12.19,7.41
653,진흥기업,"1,270",6,+0.47%,500,"355,363","145,472","1,847",1.29,3.80,25.05
654,삼영전자,"9,220",10,-0.11%,500,"48,646","20,000","1,844",39.49,10.14,3.52
655,HANARO MSCI Korea TR,"14,625",55,+0.38%,0,812,"12,600","1,843",0.00,N/A,N/A
656,신한서부티엔디리츠,"3,275",25,+0.77%,"1,000","66,511","55,956","1,833",0.88,19.38,2.02
657,유니온머티리얼,"4,285",170,-3.82%,500,"1,715,894","42,000","1,800",1.52,-93.15,-0.26
658,SNT에너지,"23,900",150,+0.63%,500,"53,693","7,507","1,794",3.82,7.99,6.04
659,동아지질,"12,610",40,-0.32%,500,"14,844","14,053","1,772",5.01,-8.25,-10.71
660,금호에이치티,897,20,-2.18%,500,"1,470,347","196,145","1,759",2.02,-8.38,-6.78
661,KOSEF 단기자금,"103,220",40,+0.04%,0,"606,553","1,703","1,758",0.45,N/A,N/A
662,삼성 레버리지 천연가스 선물 ETN C,"17,570","1,270",-6.74%,0,"275,872","10,000","1,757",0.00,N/A,N/A
663,ACE 23-12 회사채(AA-이상)액티브,"104,170",40,+0.04%,0,257,"1,685","1,755",0.16,N/A,N/A
664,한국패러랠,"2,190",5,+0.23%,0,"4,887","80,020","1,752",0.00,N/A,N/A
665,삼화페인트,"6,430",40,-0.62%,500,"55,005","27,203","1,749",5.86,35.33,1.89
666,CJ제일제당 우,"131,500",200,+0.15%,"5,000","1,779","1,327","1,746",30.16,5.34,N/A
667,에이블씨엔씨,"6,660",390,-5.53%,500,"271,302","26,014","1,733",11.30,35.05,0.82
668,NH투자증권우,"9,150",40,+0.44%,"5,000","21,375","18,871","1,727",2.17,8.33,N/A
669,해태제과식품,"5,930",20,-0.34%,500,"7,487","29,117","1,727",0.62,-219.63,-0.91
670,삼성 인버스 2X 코스닥150 선물 ETN,"8,590",300,-3.37%,0,"2,799,005","20,000","1,718",0.24,N/A,N/A
671,현대리바트,"8,350",30,+0.36%,"1,000","14,203","20,535","1,715",2.78,-2.87,-10.95
672,ARIRANG 고배당주,"11,030",20,+0.18%,0,"81,592","15,480","1,707",0.00,N/A,N/A
673,DB금융투자,"4,010",15,+0.38%,"5,000","24,921","42,446","1,702",8.57,25.06,-0.01
674,태경케미컬,"14,670",330,+2.30%,500,"278,432","11,600","1,702",1.38,17.70,6.16
675,신한 인버스0.5X S&P500 VIX S/T선물 ETN,"28,335",510,+1.83%,0,18,"6,000","1,700",0.00,N/A,N/A
676,TIGER Fn메타버스,"8,910",110,+1.25%,0,"130,845","18,900","1,684",0.92,N/A,N/A
677,디와이,"6,380",10,-0.16%,500,"516,782","26,320","1,679",4.05,-71.69,-1.26
678,TIGER 글로벌4차산업혁신기술(합성 H),"16,455",190,+1.17%,0,"24,913","10,200","1,678",0.45,N/A,N/A
679,한국주철관,"7,320",20,+0.27%,500,"17,003","22,800","1,669",4.50,14.19,3.53
680,광전자,"2,875",120,-4.01%,500,"1,338,912","57,944","1,666",21.63,17.86,6.33
681,동원금속,"3,560",365,-9.30%,500,"4,451,279","46,755","1,664",1.89,9.15,24.04
682,TIGER 여행레저,"3,845",25,-0.65%,0,"767,611","43,140","1,659",0.11,N/A,N/A
683,KODEX 장기종합채권(AA-이상)액티브KAP,"87,800",600,+0.69%,0,279,"1,880","1,651",0.00,N/A,N/A
684,무학,"5,770",20,-0.35%,200,"27,543","28,500","1,644",4.15,5.42,-2.70
685,노루페인트,"8,170",70,+0.86%,500,"54,822","20,000","1,634",4.03,13.01,3.31
686,신세계푸드,"42,150",250,-0.59%,"5,000","4,608","3,872","1,632",3.49,-21.79,-1.87
687,경보제약,"6,810",80,+1.19%,500,"48,400","23,907","1,628",1.35,-567.50,0.42
688,샘표,"56,200",700,+1.26%,"1,000","15,227","2,876","1,616",4.89,17.93,5.35
689,이지스밸류리츠,"4,385",5,-0.11%,"1,000","64,400","36,745","1,611",2.15,5.09,11.98
690,TIGER 글로벌메타버스액티브,"7,550",45,+0.60%,0,"116,268","21,200","1,601",0.15,N/A,N/A
691,ARIRANG 코스피TR,"13,710",90,+0.66%,0,"3,737,290","11,650","1,597",0.02,N/A,N/A
692,아남전자,"2,070",131,+6.76%,500,"12,536,108","77,125","1,596",6.10,16.17,15.76
693,한컴라이프케어,"5,760",20,-0.35%,200,"191,781","27,674","1,594",0.42,16.99,7.54
694,동아타이어,"11,550",30,+0.26%,500,"14,758","13,733","1,586",3.29,7.13,6.41
695,KBSTAR iSelect메타버스,"7,450",70,+0.95%,0,"69,572","21,240","1,582",0.11,N/A,N/A
696,인스코비,"1,374",0,0.00%,500,"243,328","114,895","1,579",5.30,-16.16,-11.23
697,TIGER 차이나과창판STAR50(합성),"7,125",15,-0.21%,0,"7,836","22,050","1,571",2.40,N/A,N/A
698,KODEX 차이나항셍테크,"5,950",140,+2.41%,0,"400,460","26,300","1,565",0.55,N/A,N/A
699,대구백화점,"14,350",210,+1.49%,"5,000","29,485","10,822","1,553",0.69,-7.95,-7.66
700,벽산,"2,260",15,-0.66%,500,"204,488","68,560","1,549",3.22,12.15,4.22
701,유수홀딩스,"5,930",70,-1.17%,"2,500","25,447","26,042","1,544",18.35,6.28,8.97
702,동성제약,"5,910",0,0.00%,"1,000","16,410","26,101","1,543",4.64,"1,970.00",-4.75
703,신라교역,"9,600",50,-0.52%,500,"5,690","16,000","1,536",3.12,12.23,2.55
704,용평리조트,"3,185",15,+0.47%,"5,000","62,218","48,133","1,533",1.12,-19.19,-3.17
705,수산중공업,"2,835",25,-0.87%,500,"451,069","53,985","1,530",3.09,7.54,12.09
706,KODEX TRF3070,"11,170",25,+0.22%,0,"139,464","13,700","1,530",0.00,N/A,N/A
707,한국내화,"3,725",85,-2.23%,500,"221,576","41,067","1,530",0.88,"1,862.50",0.34
708,휴비스,"4,430",15,+0.34%,"5,000","15,866","34,500","1,528",1.42,-1.65,-19.00
709,태영건설,"3,915",25,-0.63%,500,"44,535","38,899","1,523",6.84,1.98,8.54
710,ACE 24-12 회사채(AA-이상)액티브,"106,085",105,+0.10%,0,475,"1,434","1,521",0.02,N/A,N/A
711,동부건설,"6,650",60,+0.91%,"5,000","83,323","22,875","1,521",1.50,26.08,7.01
712,만호제강,"36,600",500,-1.35%,"1,000","8,408","4,150","1,519",0.97,20.10,2.75
713,ACE 중국본토CSI300,"24,600",150,+0.61%,0,"51,723","6,140","1,510",0.06,N/A,N/A
714,컨버즈,"4,100",0,0.00%,500,0,"36,810","1,509",0.09,-15.41,-81.16
715,삼양통상,"50,300",400,+0.80%,"5,000","1,123","3,000","1,509",3.64,7.01,3.67
716,강남제비스코,"23,200",300,-1.28%,"1,000","12,754","6,500","1,508",9.94,59.49,1.04
717,조선선재,"119,900","3,000",+2.57%,500,"80,260","1,258","1,508",2.15,12.64,8.02
718,이구산업,"4,475",5,-0.11%,500,"721,225","33,442","1,497",1.07,51.44,4.58
719,삼화전기,"22,600",100,-0.44%,"1,000","177,602","6,614","1,495",24.17,15.11,16.03
720,팜스코,"4,050",90,+2.27%,500,"98,342","36,728","1,487",1.42,-4.76,-11.68
721,KODEX 국고채30년액티브,"98,340","1,070",+1.10%,0,"5,529","1,511","1,486",0.19,N/A,N/A
722,TIGER 국고채30년스트립액티브,"45,545",645,+1.44%,0,"61,096","3,262","1,486",0.86,N/A,N/A
723,동일산업,"61,100",200,+0.33%,"5,000","35,767","2,425","1,482",1.53,8.20,5.33
724,성안,"2,200",60,-2.65%,500,"731,145","67,351","1,482",0.33,"-1,100.00",-9.33
725,삼영,"4,345",125,+2.96%,500,"317,818","34,000","1,477",1.48,51.73,5.37
726,신원,"1,433",3,+0.21%,500,"171,396","102,586","1,470",1.66,8.58,8.10
727,효성ITX,"12,690",40,+0.32%,500,"12,784","11,558","1,467",0.41,11.56,17.65
728,사조동아원,"1,037",3,+0.29%,500,"218,493","141,145","1,464",0.91,-259.25,0.47
729,황금에스티,"8,600",80,-0.92%,500,"126,371","17,000","1,462",4.94,4.08,12.83
730,키움 INDXX 미국테크탑10 ETN,"14,600",65,+0.45%,0,200,"10,000","1,460",0.00,N/A,N/A
731,미래산업,"31,900","4,050",+14.54%,500,"419,945","4,575","1,460",2.35,39.73,9.02
732,TIGER 미국MSCI리츠(합성 H),"12,520",160,+1.29%,0,"133,652","11,650","1,459",0.00,N/A,N/A
733,KODEX 미국S&P500선물(H),"21,120",180,+0.86%,0,"13,312","6,900","1,457",0.31,N/A,N/A
734,KTcs,"3,405",55,+1.64%,500,"295,835","42,685","1,453",6.67,8.89,9.52
735,인지컨트롤스,"9,180",110,-1.18%,500,"71,974","15,809","1,451",5.67,10.03,7.27
736,삼성물산우B,"88,800",100,-0.11%,100,"6,778","1,627","1,445",16.20,7.75,N/A
737,계룡건설,"16,170",130,-0.80%,"5,000","28,017","8,931","1,444",12.35,2.55,8.36
738,아시아나IDT,"13,000",100,-0.76%,500,"4,926","11,100","1,443",0.59,13.90,5.45
739,노루홀딩스,"10,850",450,+4.33%,500,"60,621","13,291","1,442",3.53,5.81,6.56
740,아모레G3우(전환),"20,300",50,+0.25%,500,"4,034","7,092","1,440",3.77,30.57,N/A
741,NH올원리츠,"3,395",45,+1.34%,500,"45,121","42,200","1,433",1.27,24.42,1.94
742,대영포장,"1,314",8,-0.61%,500,"60,567","108,395","1,424",0.28,9.81,7.69
743,성창기업지주,"2,035",0,0.00%,500,"81,902","69,752","1,419",2.62,-7.89,-2.33
744,디씨엠,"12,420",40,+0.32%,500,"16,688","11,400","1,416",1.91,4.31,15.03
745,미원화학,"64,200",100,+0.16%,"1,000",71,"2,199","1,412",2.14,8.05,12.87
746,TRUE 레버리지 나스닥 100 ETN,"28,195",520,+1.88%,0,"53,789","5,000","1,410",0.00,N/A,N/A
747,HDC현대EP,"4,400",40,-0.90%,500,"48,384","31,900","1,404",4.90,9.07,3.79
748,대한화섬,"105,200",300,-0.28%,"5,000",253,"1,328","1,397",0.24,4.18,4.59
749,두올,"4,220",70,+1.69%,"2,500","973,627","33,067","1,395",2.04,11.34,3.78
750,극동유화,"3,995",345,-7.95%,500,"1,965,559","34,869","1,393",2.68,7.79,10.63
751,KBSTAR 코스피,"26,745",240,+0.91%,0,"294,324","5,200","1,391",0.01,N/A,N/A
752,ACE 테슬라밸류체인액티브,"13,490",135,+1.01%,0,"1,744,409","10,250","1,383",0.36,N/A,N/A
753,KB 블룸버그 인버스2X 천연가스선물 ETN(H),"55,240","2,450",+4.64%,0,172,"2,500","1,381",0.00,N/A,N/A
754,신한 블룸버그 -2X 천연가스 선물 ETN(H),"55,230","2,890",+5.52%,0,666,"2,500","1,381",0.00,N/A,N/A
755,KBSTAR 2차전지액티브,"13,220",65,+0.49%,0,"319,561","10,440","1,380",1.48,N/A,N/A
756,세아특수강,"16,040",170,+1.07%,"5,000","8,537","8,570","1,375",2.00,8.74,5.47
757,미래에셋 S&P -2X 천연가스 선물 ETN(H),"54,875","2,780",+5.34%,0,453,"2,500","1,372",0.00,N/A,N/A
758,TIGER 투자등급회사채액티브,"103,965",250,+0.24%,0,353,"1,316","1,368",0.00,N/A,N/A
759,샘표식품,"29,850",400,+1.36%,500,"31,073","4,568","1,364",5.14,14.16,5.92
760,유화증권,"2,395",0,0.00%,"1,000","4,479","56,702","1,358",1.29,22.59,0.85
761,가온전선,"21,350",300,-1.39%,"5,000","66,061","6,359","1,358",2.93,7.68,3.66
762,씨아이테크,"2,725",110,-3.88%,500,"995,513","49,395","1,346",1.79,-16.32,-1.30
763,신흥,"14,140",60,-0.42%,500,"9,666","9,500","1,343",0.09,15.83,8.13
764,대양금속,"3,615",10,+0.28%,500,"269,235","37,070","1,340",2.09,-17.05,N/A
765,삼원강재,"3,350",35,-1.03%,500,"190,084","40,000","1,340",0.59,10.06,5.79
766,SK이노베이션우,"107,200",800,-0.74%,"5,000","5,899","1,248","1,338",14.70,15.59,N/A
767,TIGER 미국S&P500TR(H),"10,980",90,+0.83%,0,"47,257","12,150","1,334",0.88,N/A,N/A
768,KODEX 배당가치,"12,350",35,+0.28%,0,"44,593","10,700","1,321",0.00,N/A,N/A
769,대창,"1,448",16,+1.12%,500,"322,397","91,140","1,320",1.86,-19.05,1.51
770,동남합성,"37,600",250,-0.66%,500,838,"3,500","1,316",0.02,14.57,22.06
771,TRUE 코스피 양매도 5% OTM ETN,"8,695",0,0.00%,0,0,"15,000","1,304",0.00,N/A,N/A
772,씨티알모빌리티,"15,130",340,+2.30%,500,"119,975","8,610","1,303",0.63,73.09,1.12
