,종목명,현재가,전일비,등락률,액면가,거래량,상장주식수,시가총액,외국인비율,PER,ROE
260,더블유게임즈,"43,700","1,550",+3.68%,500,"38,549","18,191","7,949",12.08,-6.75,-16.82
261,DL,"37,900",350,-0.92%,"5,000","70,935","20,956","7,942",11.43,-12.94,1.52
262,롯데관광개발,"10,700",20,+0.19%,500,"352,782","73,763","7,893",6.37,-2.88,-154.22
263,다우기술,"17,560",40,+0.23%,500,"37,346","44,867","7,879",23.54,1.81,17.36
264,미원에스씨,"151,200","7,900",+5.51%,500,"2,528","5,100","7,711",0.48,14.82,18.38
265,경동나비엔,"52,400","1,900",-3.50%,"1,000","104,581","14,569","7,634",8.17,11.67,11.07
266,SNT모티브,"52,200","1,000",-1.88%,"5,000","57,328","14,623","7,633",20.17,8.07,10.08
267,F&F홀딩스,"19,440",40,-0.21%,500,"19,322","39,114","7,604",0.25,5.42,6.64
268,한세실업,"18,890",820,-4.16%,500,"206,378","40,000","7,556",8.10,9.65,17.10
269,화신,"21,400",0,0.00%,500,"544,098","34,920","7,473",11.52,9.24,23.00
270,KODEX 자동차,"19,520",115,-0.59%,0,"219,730","37,600","7,340",0.16,N/A,N/A
271,대웅,"12,600",240,+1.94%,500,"69,334","58,142","7,326",5.15,6.23,13.17
272,KODEX 인버스,"4,475",30,-0.67%,0,"12,242,466","163,600","7,321",1.25,N/A,N/A
273,KBSTAR 머니마켓액티브,"50,380",15,+0.03%,0,"17,528","14,230","7,169",0.00,N/A,N/A
274,HDC현대산업개발,"10,820",20,-0.18%,"5,000","189,142","65,907","7,131",7.00,4.28,1.75
275,KODEX 코스닥150선물인버스,"3,825",60,-1.54%,0,"52,738,821","183,800","7,030",2.56,N/A,N/A
276,KCC글라스,"43,650",100,-0.23%,"1,000","24,470","15,971","6,971",8.67,8.15,6.64
277,JW중외제약,"30,450","2,400",+8.56%,"2,500","913,103","22,835","6,953",8.18,19.56,14.45
278,애경산업,"26,300",400,-1.50%,"1,000","62,739","26,410","6,946",4.40,26.09,4.70
279,자화전자,"31,700",750,+2.42%,500,"139,413","21,824","6,918",8.18,-11.06,-11.90
280,KG케미칼,"49,550","1,200",+2.48%,"5,000","418,870","13,866","6,871",6.77,2.24,47.97
281,KOSEF 국고채10년,"110,250",925,+0.85%,0,"17,528","6,230","6,869",0.21,N/A,N/A
282,드림텍,"10,070",180,+1.82%,100,"454,079","67,454","6,793",22.72,18.08,17.24
283,대신증권,"13,360",10,+0.07%,"5,000","26,896","50,773","6,783",11.31,11.60,4.38
284,서연이화,"25,050","1,100",+4.59%,500,"784,560","27,028","6,771",10.83,8.39,8.03
285,세방전지,"48,250",400,-0.82%,500,"64,802","14,000","6,755",25.28,16.31,3.58
286,SK디스커버리,"35,300",650,+1.88%,"5,000","17,855","19,038","6,720",9.77,1.77,16.34
287,태광산업,"603,000","2,000",+0.33%,"5,000",486,"1,113","6,714",4.30,2.00,8.52
288,흥아해운,"2,785",5,-0.18%,500,"22,077,492","240,425","6,696",1.08,23.40,19.41
289,KODEX MSCI Korea TR,"11,680",100,+0.86%,0,"1,785","57,000","6,658",1.15,N/A,N/A
290,TIGER 차이나항셍테크,"5,935",150,+2.59%,0,"963,117","111,850","6,638",0.33,N/A,N/A
291,ARIRANG 200,"34,845",295,+0.85%,0,"107,207","19,000","6,621",0.09,N/A,N/A
292,ACE 종합채권(AA-이상)KIS액티브,"95,945",475,+0.50%,0,"5,664","6,850","6,572",0.00,N/A,N/A
293,녹십자홀딩스,"13,900",460,+3.42%,500,"54,320","47,028","6,537",5.58,75.54,3.18
294,티웨이항공,"3,255",5,+0.15%,500,"1,615,453","200,772","6,535",3.05,-18.60,-222.35
295,한국단자,"61,000",900,-1.45%,500,"15,746","10,415","6,353",22.11,10.33,5.69
296,케이카,"13,200",40,+0.30%,500,"557,666","48,087","6,347",4.87,20.72,11.65
297,대한해운,"1,983",2,+0.10%,500,"1,528,494","319,177","6,329",5.21,4.78,11.21
298,우리종금,723,6,+0.84%,500,"578,031","874,203","6,320",3.10,7.95,14.40
299,신세계인터내셔날,"17,590",20,-0.11%,"1,000","94,427","35,700","6,280",4.73,6.26,15.29
300,미래에셋생명,"3,525",10,-0.28%,"5,000","52,851","177,016","6,240",1.61,4.90,3.56
301,삼양홀딩스,"72,500","1,700",+2.40%,"5,000","12,286","8,564","6,209",7.95,13.24,4.01
302,KBSTAR 23-11 회사채(AA-이상)액티브,"51,660",20,+0.04%,0,"10,652","11,796","6,094",0.00,N/A,N/A
303,LX홀딩스,"7,920",50,+0.64%,"1,000","53,094","76,281","6,041",9.66,13.29,N/A
304,KODEX Top5PlusTR,"17,910",125,+0.70%,0,"2,539","33,700","6,036",22.85,N/A,N/A
305,한국카본,"13,540",480,+3.68%,500,"2,702,848","43,961","5,952",11.34,39.13,5.11
306,이엔플러스,"9,060",80,-0.88%,500,"1,048,478","65,387","5,924",3.85,-11.87,-53.00
307,대상,"17,030",360,+2.16%,"1,000","113,741","34,648","5,901",8.40,9.12,6.57
308,TIGER 24-10 회사채(A+이상)액티브,"52,930",95,+0.18%,0,"55,378","11,126","5,889",0.06,N/A,N/A
309,KOSEF 200TR,"42,565",330,+0.78%,0,"62,755","13,800","5,874",9.07,N/A,N/A
310,동양생명,"3,640",5,+0.14%,"5,000","76,727","161,359","5,873",82.08,3.69,2.99
311,SPC삼립,"67,300",200,-0.30%,"5,000","7,169","8,629","5,807",3.01,10.76,14.70
312,HANARO 200,"34,415",255,+0.75%,0,"109,074","16,750","5,765",0.01,N/A,N/A
313,KODEX 미국S&P500TR,"12,875",5,-0.04%,0,"330,977","44,750","5,762",0.09,N/A,N/A
314,이수화학,"25,650",100,+0.39%,"5,000","383,617","22,451","5,759",3.76,82.74,9.41
315,쿠쿠홀딩스,"15,960",140,+0.88%,100,"18,551","35,562","5,676",7.18,4.77,12.72
316,QV 코스피 변동성 매칭형 양매도 ETN,"8,020",0,0.00%,0,0,"70,000","5,614",0.00,N/A,N/A
317,ACE 미국S&P500,"14,510",5,-0.03%,0,"119,089","38,600","5,601",1.06,N/A,N/A
318,DI동일,"21,500",200,-0.92%,500,"63,925","26,041","5,599",2.82,13.75,9.37
319,바이오노트,"5,490",120,+2.23%,500,"272,908","101,976","5,598",1.03,14.22,21.48
320,보령,"8,130",230,+2.91%,500,"203,055","68,690","5,584",5.41,13.28,8.47
321,동원F&B,"28,800",750,+2.67%,"1,000","13,690","19,296","5,557",6.90,5.56,10.80
322,한섬,"22,400",200,+0.90%,500,"65,404","24,630","5,517",25.92,4.42,9.56
323,한화투자증권,"2,570",15,+0.59%,"5,000","215,701","214,548","5,514",6.81,-9.92,-3.20
324,현대홈쇼핑,"45,900","1,150",+2.57%,"5,000","8,575","12,000","5,508",24.28,4.41,4.50
325,삼성화재우,"172,000","2,800",-1.60%,500,"8,954","3,192","5,490",25.27,6.02,N/A
326,KODEX Fn Top10동일가중,"8,170",90,+1.11%,0,"112,885","67,100","5,482",0.00,N/A,N/A
327,프레스티지바이오파마,"9,090",100,+1.11%,0,"24,538","60,096","5,463",63.31,-7.29,-32.84
328,신성이엔지,"2,650",5,-0.19%,500,"14,594,689","205,848","5,455",5.59,9.93,16.30
329,신한알파리츠,"6,180",20,+0.32%,"1,000","49,514","88,100","5,445",6.09,53.28,2.68
330,유안타증권,"2,700",25,+0.93%,"5,000","105,469","199,597","5,389",64.69,12.05,2.93
331,삼성 인버스 2X 천연가스 선물 ETN C,"53,500","2,245",+4.38%,0,"27,744","10,000","5,350",0.00,N/A,N/A
332,롯데손해보험,"1,723",37,-2.10%,"1,000","107,274","310,336","5,347",0.73,-82.05,-8.70
333,SBS,"29,200",100,-0.34%,"5,000","35,884","18,253","5,330",0.00,4.59,20.64
334,삼성SDI우,"328,000","3,500",+1.08%,"5,000","4,978","1,618","5,307",19.89,11.35,N/A
335,신영증권,"55,900",100,+0.18%,"5,000",746,"9,386","5,247",7.48,9.53,6.66
336,화승엔터프라이즈,"8,650",240,-2.70%,500,"281,229","60,589","5,241",3.77,-45.05,-1.86
337,KBSTAR 단기통안채,"108,330",50,+0.05%,0,"1,197,558","4,834","5,237",0.55,N/A,N/A
338,KODEX 선진국MSCI World,"22,215",155,+0.70%,0,"61,039","23,450","5,209",0.05,N/A,N/A
339,TIGER 글로벌리튬&2차전지SOLACTIVE(합성),"9,840",90,+0.92%,0,"152,823","52,920","5,207",0.28,N/A,N/A
340,엠씨넥스,"28,850",300,-1.03%,500,"77,775","17,978","5,187",9.09,21.53,7.56
341,쿠쿠홈시스,"23,100",150,+0.65%,100,"11,310","22,437","5,183",4.54,4.51,17.66
342,동아쏘시오홀딩스,"81,300","1,800",+2.26%,"5,000","6,539","6,349","5,162",12.57,20.41,1.15
343,미래에셋증권2우B,"3,665",15,+0.41%,"5,000","43,981","140,000","5,131",10.38,4.11,N/A
344,KOSEF 200,"34,360",305,+0.90%,0,"7,232","14,850","5,102",0.00,N/A,N/A
345,KODEX 코스닥150,"13,805",225,+1.66%,0,"3,449,005","36,450","5,032",0.93,N/A,N/A
346,부광약품,"7,060",0,0.00%,500,"98,976","71,063","5,017",5.72,-95.41,-0.93
347,코람코에너지리츠,"5,620",30,+0.54%,500,"38,951","88,534","4,976",1.36,20.89,2.80
348,삼성 레버리지 WTI원유 선물 ETN,"1,230",25,+2.07%,0,"2,300,619","404,000","4,969",0.00,N/A,N/A
349,동국제강,"10,000",510,+5.37%,"5,000","651,155","49,608","4,961",31.10,N/A,N/A
350,TIGER Fn반도체TOP10,"9,400",180,+1.95%,0,"1,301,702","52,500","4,935",0.14,N/A,N/A
351,KODEX 미국FANG플러스(H),"29,280",375,+1.30%,0,"186,668","16,850","4,934",0.16,N/A,N/A
352,국도화학,"54,700",100,-0.18%,"5,000","47,637","9,011","4,929",19.72,9.47,9.03
353,SK렌터카,"10,370",260,+2.57%,500,"84,364","47,286","4,904",0.94,23.84,4.15
354,SK디앤디,"22,000","1,300",+6.28%,"1,000","91,526","22,190","4,882",4.91,10.89,11.47
355,KODEX 미국나스닥100TR,"13,005",65,+0.50%,0,"413,439","37,450","4,870",0.35,N/A,N/A
356,지누스,"25,750",100,-0.39%,500,"41,754","18,901","4,867",12.93,29.80,5.32
357,고려제강,"19,110",10,+0.05%,"1,000","10,230","25,000","4,778",6.94,8.04,5.18
358,TIGER 단기채권액티브,"52,220",25,+0.05%,0,"35,430","9,086","4,745",0.05,N/A,N/A
359,알루코,"5,220",350,+7.19%,500,"14,938,206","90,771","4,738",3.45,25.22,5.99
360,한화손해보험,"4,015",5,-0.12%,"5,000","83,126","116,739","4,687",7.51,2.06,27.68
361,쏘카,"14,290",80,-0.56%,100,"27,837","32,788","4,685",0.08,-23.98,-9.10
